"GEO_ID","NAME","B19001I_001E","B19001I_001EA","B19001I_001M","B19001I_001MA","B19001I_002E","B19001I_002M","B19001I_002MA","B19001I_002EA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005M","B19001I_005MA","B19001I_005EA","B19001I_006E","B19001I_006M","B19001I_006MA","B19001I_006EA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012M","B19001I_012MA","B19001I_012EA","B19001I_013E","B19001I_013M","B19001I_013MA","B19001I_013EA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015M","B19001I_015MA","B19001I_015EA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04019002503","Census Tract 25.03, Pima County, Arizona","1078","null","168","null","140","90","null","null","85","null","91","null","54","null","43","null","193","106","null","null","92","65","null","null","124","null","100","null","76","49","null","null","72","null","74","null","51","null","65","null","33","33","null","null","49","38","null","null","91","68","null","null","4","null","12","null","8","15","null","null","0","13","null","null","6","null","10","null",
"1400000US04019002504","Census Tract 25.04, Pima County, Arizona","1076","null","168","null","82","75","null","null","178","null","91","null","128","null","87","null","140","94","null","null","67","42","null","null","86","null","74","null","133","98","null","null","27","null","34","null","40","null","45","null","40","47","null","null","45","38","null","null","61","48","null","null","0","null","18","null","26","43","null","null","0","18","null","null","23","null","38","null",
"1400000US04019002505","Census Tract 25.05, Pima County, Arizona","1431","null","218","null","152","126","null","null","80","null","83","null","250","null","136","null","133","102","null","null","80","92","null","null","25","null","26","null","93","89","null","null","222","null","151","null","64","null","87","null","73","58","null","null","65","51","null","null","100","62","null","null","78","null","77","null","0","18","null","null","16","25","null","null","0","null","18","null",
"1400000US04019002506","Census Tract 25.06, Pima County, Arizona","1555","null","209","null","212","122","null","null","54","null","52","null","22","null","35","null","168","104","null","null","214","112","null","null","84","null","65","null","139","87","null","null","35","null","56","null","103","null","89","null","80","57","null","null","250","156","null","null","166","101","null","null","12","null","23","null","0","18","null","null","0","18","null","null","16","null","26","null",
"1400000US04019002602","Census Tract 26.02, Pima County, Arizona","653","null","142","null","94","78","null","null","80","null","71","null","66","null","77","null","35","51","null","null","30","42","null","null","12","null","20","null","82","94","null","null","0","null","13","null","70","null","76","null","80","85","null","null","0","13","null","null","46","56","null","null","0","null","13","null","58","68","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002603","Census Tract 26.03, Pima County, Arizona","547","null","143","null","111","70","null","null","104","null","63","null","72","null","48","null","41","35","null","null","31","45","null","null","11","null","18","null","25","29","null","null","0","null","13","null","50","null","55","null","30","40","null","null","40","48","null","null","20","33","null","null","12","null","17","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002604","Census Tract 26.04, Pima County, Arizona","641","null","134","null","108","71","null","null","30","null","29","null","125","null","69","null","109","67","null","null","117","65","null","null","60","null","44","null","0","13","null","null","17","null","25","null","18","null","27","null","34","40","null","null","23","36","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002702","Census Tract 27.02, Pima County, Arizona","657","null","226","null","185","128","null","null","15","null","24","null","86","null","84","null","0","13","null","null","0","13","null","null","72","null","96","null","25","30","null","null","0","null","13","null","16","null","25","null","14","30","null","null","55","66","null","null","10","17","null","null","65","null","63","null","100","103","null","null","0","13","null","null","14","null","23","null",
"1400000US04019002703","Census Tract 27.03, Pima County, Arizona","343","null","90","null","56","42","null","null","35","null","33","null","65","null","60","null","45","53","null","null","23","26","null","null","0","null","13","null","54","45","null","null","6","null","10","null","0","null","13","null","10","16","null","null","7","12","null","null","42","45","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002704","Census Tract 27.04, Pima County, Arizona","182","null","87","null","30","37","null","null","22","null","33","null","0","null","13","null","34","37","null","null","0","13","null","null","39","null","43","null","21","33","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","20","null","31","null","16","21","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002801","Census Tract 28.01, Pima County, Arizona","228","null","89","null","91","65","null","null","11","null","18","null","26","null","40","null","0","13","null","null","0","13","null","null","29","null","41","null","0","13","null","null","27","null","32","null","10","null","16","null","34","47","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002802","Census Tract 28.02, Pima County, Arizona","492","null","112","null","52","43","null","null","8","null","11","null","40","null","34","null","68","50","null","null","67","43","null","null","69","null","53","null","71","58","null","null","0","null","13","null","12","null","20","null","44","39","null","null","58","56","null","null","3","6","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002803","Census Tract 28.03, Pima County, Arizona","204","null","94","null","53","57","null","null","12","null","17","null","28","null","44","null","0","13","null","null","0","13","null","null","11","null","16","null","35","30","null","null","0","null","13","null","35","null","55","null","22","25","null","null","8","16","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002901","Census Tract 29.01, Pima County, Arizona","455","null","114","null","127","94","null","null","87","null","73","null","0","null","18","null","7","12","null","null","12","20","null","null","29","null","27","null","24","36","null","null","0","null","18","null","32","null","51","null","16","27","null","null","50","46","null","null","18","31","null","null","53","null","65","null","0","18","null","null","0","18","null","null","0","null","18","null",
"1400000US04019002904","Census Tract 29.04, Pima County, Arizona","169","null","56","null","0","13","null","null","9","null","15","null","0","null","13","null","11","17","null","null","0","13","null","null","8","null","14","null","0","13","null","null","24","null","28","null","7","null","15","null","24","29","null","null","49","20","null","null","8","14","null","null","19","null","30","null","10","16","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002905","Census Tract 29.05, Pima County, Arizona","272","null","133","null","79","98","null","null","32","null","37","null","46","null","54","null","21","32","null","null","0","13","null","null","21","null","34","null","0","13","null","null","0","null","13","null","0","null","13","null","44","66","null","null","29","33","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019002906","Census Tract 29.06, Pima County, Arizona","235","null","106","null","25","24","null","null","10","null","15","null","11","null","17","null","0","13","null","null","0","13","null","null","0","null","13","null","7","11","null","null","10","null","15","null","0","null","13","null","86","74","null","null","11","19","null","null","51","58","null","null","0","null","13","null","0","13","null","null","13","24","null","null","11","null","18","null",
"1400000US04019003002","Census Tract 30.02, Pima County, Arizona","248","null","145","null","54","70","null","null","13","null","21","null","0","null","13","null","0","13","null","null","13","21","null","null","0","null","13","null","23","37","null","null","0","null","13","null","11","null","19","null","0","13","null","null","0","13","null","null","65","104","null","null","44","null","51","null","0","13","null","null","0","13","null","null","25","null","28","null",
"1400000US04019003003","Census Tract 30.03, Pima County, Arizona","438","null","162","null","50","49","null","null","13","null","20","null","69","null","89","null","65","81","null","null","60","76","null","null","48","null","56","null","14","24","null","null","62","null","84","null","0","null","13","null","30","35","null","null","15","23","null","null","0","13","null","null","12","null","21","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019003004","Census Tract 30.04, Pima County, Arizona","88","null","50","null","16","24","null","null","0","null","13","null","0","null","13","null","10","12","null","null","0","13","null","null","15","null","24","null","0","13","null","null","0","null","13","null","0","null","13","null","10","12","null","null","0","13","null","null","0","13","null","null","21","null","25","null","0","13","null","null","16","26","null","null","0","null","13","null",
"1400000US04019003101","Census Tract 31.01, Pima County, Arizona","588","null","189","null","110","96","null","null","100","null","91","null","65","null","81","null","95","94","null","null","13","21","null","null","39","null","47","null","31","51","null","null","14","null","23","null","16","null","27","null","0","18","null","null","27","33","null","null","78","74","null","null","0","null","18","null","0","18","null","null","0","18","null","null","0","null","18","null",
"1400000US04019003102","Census Tract 31.02, Pima County, Arizona","347","null","105","null","47","38","null","null","26","null","40","null","35","null","42","null","28","30","null","null","16","22","null","null","37","null","35","null","28","45","null","null","0","null","13","null","0","null","13","null","8","14","null","null","24","39","null","null","98","60","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019003200","Census Tract 32, Pima County, Arizona","592","null","200","null","42","47","null","null","52","null","52","null","31","null","37","null","58","92","null","null","103","111","null","null","47","null","53","null","0","18","null","null","35","null","45","null","18","null","29","null","37","38","null","null","41","64","null","null","0","18","null","null","102","null","100","null","26","37","null","null","0","18","null","null","0","null","18","null",
"1400000US04019003302","Census Tract 33.02, Pima County, Arizona","308","null","92","null","0","13","null","null","20","null","22","null","37","null","38","null","41","42","null","null","0","13","null","null","0","null","13","null","0","13","null","null","50","null","58","null","16","null","20","null","37","38","null","null","42","58","null","null","0","13","null","null","65","null","51","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04019003303","Census Tract 33.03, Pima County, Arizona","298","null","105","null","28","38","null","null","27","null","43","null","19","null","23","null","0","13","null","null","12","21","null","null","55","null","85","null","0","13","null","null","26","null","43","null","0","null","13","null","0","13","null","null","73","83","null","null","58","40","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
