"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003M","B19001I_003MA","B19001I_003EA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005EA","B19001I_005M","B19001I_005MA","B19001I_006E","B19001I_006EA","B19001I_006M","B19001I_006MA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008M","B19001I_008MA","B19001I_008EA","B19001I_009E","B19001I_009EA","B19001I_009M","B19001I_009MA","B19001I_010E","B19001I_010M","B19001I_010MA","B19001I_010EA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013M","B19001I_013MA","B19001I_013EA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015M","B19001I_015MA","B19001I_015EA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017EA","B19001I_017M","B19001I_017MA",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","241","85","null","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","28","null","35","null","14","23","null","null","0","null","19","null","51","40","null","null","33","51","null","null","0","null","19","null","8","14","null","null","13","null","21","null","26","31","null","null","5","10","null","null","63","null","60","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","936","646","null","null","7","null","13","null","33","52","null","null","0","null","19","null","0","null","19","null","29","null","42","null","37","null","45","null","0","19","null","null","0","null","19","null","0","19","null","null","28","44","null","null","0","null","19","null","117","85","null","null","129","null","102","null","411","607","null","null","145","180","null","null","0","null","19","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","381","96","null","null","11","null","18","null","0","19","null","null","11","null","18","null","0","null","19","null","0","null","19","null","21","null","32","null","10","15","null","null","9","null","16","null","0","19","null","null","50","50","null","null","46","null","46","null","70","59","null","null","46","null","49","null","40","47","null","null","34","42","null","null","33","null","33","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","825","233","null","null","11","null","24","null","0","19","null","null","57","null","58","null","0","null","19","null","29","null","44","null","107","null","92","null","0","19","null","null","128","null","99","null","32","51","null","null","80","80","null","null","33","null","36","null","43","39","null","null","198","null","185","null","27","42","null","null","66","62","null","null","14","null","24","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","605","183","null","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","35","53","null","null","8","null","25","null","0","19","null","null","54","82","null","null","202","null","139","null","103","100","null","null","7","null","21","null","105","105","null","null","2","4","null","null","89","null","74","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","13","22","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","13","22","null","null","0","13","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","287","94","null","null","0","null","13","null","0","13","null","null","71","null","63","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","25","null","37","null","0","13","null","null","10","16","null","null","43","null","66","null","0","13","null","null","67","null","54","null","12","21","null","null","28","34","null","null","31","null","34","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","161","62","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","8","null","14","null","18","21","null","null","61","null","44","null","0","13","null","null","50","43","null","null","24","null","22","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","174","61","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","5","null","9","null","13","null","14","null","8","12","null","null","0","null","13","null","0","13","null","null","30","34","null","null","23","null","24","null","19","21","null","null","36","null","39","null","7","11","null","null","24","35","null","null","9","null","15","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","773","670","null","null","0","null","19","null","0","19","null","null","0","null","19","null","9","null","14","null","0","null","19","null","444","null","655","null","0","19","null","null","0","null","19","null","29","39","null","null","6","11","null","null","45","null","46","null","54","48","null","null","125","null","145","null","54","48","null","null","0","19","null","null","7","null","12","null",
