"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_001MA","B19001I_001EA","B19001I_002E","B19001I_002EA","B19001I_002M","B19001I_002MA","B19001I_003E","B19001I_003EA","B19001I_003M","B19001I_003MA","B19001I_004E","B19001I_004EA","B19001I_004M","B19001I_004MA","B19001I_005E","B19001I_005M","B19001I_005MA","B19001I_005EA","B19001I_006E","B19001I_006M","B19001I_006MA","B19001I_006EA","B19001I_007E","B19001I_007EA","B19001I_007M","B19001I_007MA","B19001I_008E","B19001I_008EA","B19001I_008M","B19001I_008MA","B19001I_009E","B19001I_009M","B19001I_009MA","B19001I_009EA","B19001I_010E","B19001I_010EA","B19001I_010M","B19001I_010MA","B19001I_011E","B19001I_011M","B19001I_011MA","B19001I_011EA","B19001I_012E","B19001I_012EA","B19001I_012M","B19001I_012MA","B19001I_013E","B19001I_013EA","B19001I_013M","B19001I_013MA","B19001I_014E","B19001I_014EA","B19001I_014M","B19001I_014MA","B19001I_015E","B19001I_015EA","B19001I_015M","B19001I_015MA","B19001I_016E","B19001I_016M","B19001I_016MA","B19001I_016EA","B19001I_017E","B19001I_017M","B19001I_017MA","B19001I_017EA",
"1400000US04013109400","Census Tract 1094, Maricopa County, Arizona","1314","304","null","null","505","null","251","null","175","null","115","null","106","null","97","null","180","134","null","null","85","87","null","null","0","null","17","null","25","null","29","null","22","37","null","null","45","null","52","null","23","41","null","null","28","null","46","null","60","null","91","null","22","null","37","null","38","null","44","null","0","17","null","null","0","17","null","null",
"1400000US04013109500","Census Tract 1095, Maricopa County, Arizona","783","107","null","null","0","null","17","null","78","null","77","null","19","null","31","null","54","51","null","null","22","24","null","null","106","null","84","null","151","null","83","null","30","42","null","null","44","null","36","null","78","65","null","null","75","null","49","null","85","null","39","null","41","null","28","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013109601","Census Tract 1096.01, Maricopa County, Arizona","943","79","null","null","64","null","61","null","82","null","60","null","38","null","43","null","127","86","null","null","146","68","null","null","29","null","27","null","67","null","53","null","56","40","null","null","111","null","76","null","53","35","null","null","92","null","54","null","44","null","41","null","12","null","18","null","0","null","17","null","14","20","null","null","8","12","null","null",
"1400000US04013109602","Census Tract 1096.02, Maricopa County, Arizona","1037","136","null","null","110","null","82","null","51","null","52","null","82","null","63","null","117","68","null","null","157","79","null","null","151","null","76","null","105","null","73","null","41","42","null","null","19","null","32","null","102","63","null","null","72","null","57","null","0","null","17","null","8","null","12","null","0","null","17","null","12","24","null","null","10","17","null","null",
"1400000US04013109603","Census Tract 1096.03, Maricopa County, Arizona","856","114","null","null","76","null","70","null","92","null","73","null","32","null","47","null","67","62","null","null","62","50","null","null","87","null","75","null","65","null","86","null","15","19","null","null","69","null","72","null","121","89","null","null","39","null","34","null","58","null","45","null","26","null","30","null","26","null","41","null","0","17","null","null","21","29","null","null",
"1400000US04013109604","Census Tract 1096.04, Maricopa County, Arizona","647","84","null","null","25","null","26","null","52","null","38","null","89","null","57","null","53","44","null","null","101","58","null","null","29","null","34","null","69","null","54","null","50","29","null","null","57","null","44","null","20","22","null","null","39","null","33","null","47","null","27","null","16","null","15","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013109701","Census Tract 1097.01, Maricopa County, Arizona","1954","164","null","null","262","null","137","null","193","null","102","null","278","null","134","null","243","115","null","null","35","42","null","null","201","null","117","null","119","null","92","null","63","72","null","null","124","null","88","null","276","133","null","null","48","null","56","null","60","null","61","null","52","null","60","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013109702","Census Tract 1097.02, Maricopa County, Arizona","982","92","null","null","38","null","43","null","97","null","74","null","146","null","86","null","34","40","null","null","104","69","null","null","201","null","100","null","62","null","47","null","39","48","null","null","22","null","23","null","103","67","null","null","102","null","80","null","22","null","32","null","12","null","20","null","0","null","17","null","0","17","null","null","0","17","null","null",
"1400000US04013109703","Census Tract 1097.03, Maricopa County, Arizona","553","72","null","null","102","null","55","null","31","null","22","null","25","null","24","null","35","26","null","null","8","11","null","null","64","null","43","null","20","null","25","null","17","19","null","null","39","null","31","null","41","24","null","null","116","null","62","null","27","null","23","null","25","null","31","null","3","null","6","null","0","12","null","null","0","12","null","null",
"1400000US04013109704","Census Tract 1097.04, Maricopa County, Arizona","434","40","null","null","25","null","23","null","14","null","14","null","69","null","29","null","12","19","null","null","32","27","null","null","39","null","29","null","17","null","19","null","24","23","null","null","44","null","32","null","79","41","null","null","20","null","21","null","36","null","28","null","23","null","23","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013109705","Census Tract 1097.05, Maricopa County, Arizona","338","38","null","null","0","null","12","null","45","null","32","null","22","null","27","null","0","12","null","null","32","27","null","null","37","null","30","null","0","null","12","null","70","40","null","null","9","null","13","null","73","36","null","null","0","null","12","null","50","null","28","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1400000US04013109801","Census Tract 1098.01, Maricopa County, Arizona","870","67","null","null","65","null","42","null","21","null","19","null","132","null","58","null","107","48","null","null","78","39","null","null","82","null","50","null","68","null","44","null","42","24","null","null","58","null","42","null","33","30","null","null","93","null","47","null","61","null","34","null","18","null","20","null","12","null","19","null","0","12","null","null","0","12","null","null",
