SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
AVRA VALLEY,1235,35274,289,0,0,0,131,47193,0,0,0,0,0,19370,857,4,0,0,0,0,0,0,0,0,0,0,3,44565,0,2,0,0,0,2181,0,435,133590,31340,5784,1172,4927,0,39537,0,5757179,44749,5057,201,0,119,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGER WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,1024,48,4,0,38,0,0,0,208937,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2108,240,20,3,3,0,988,0,355790,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,3456,3045,91,0,0,0,182,932,0,55,0,25,0,17554,150,0,770,2,0,0,0,0,0,0,0,0,0,253396,0,27,0,0,0,23461,0,1,24594,4508,1895,190,102,37,342261,18077,4151463,51513,202,64,565,22,0,0,0,0,0,0,0,0,0,6,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA ROSA VALLEY,11,8442,2,0,0,0,0,11,0,0,0,1,0,645,6,0,0,0,0,0,0,0,0,0,0,0,0,5470,0,0,0,0,0,16,0,78,9702,2637,288,69,747,0,31,0,2906477,30,10175,5,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPPER SANTA CRUZ,14,453,6,0,0,0,3,412,0,0,0,2,0,4741,37,0,0,0,0,0,0,0,0,0,0,0,0,1729,0,0,0,0,0,581,0,1235,242677,372727,172932,33460,113067,0,326280,57,3682216,1276,11849,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WILLCOX,85830,5409,3632,0,0,0,5857,4019,0,1,0,63,0,51851,166,0,13867,19,0,0,0,0,0,0,0,0,0,576524,0,2314,0,0,0,12035,0,22,52683,5596,2338,570,144797,45,637564,3032,3629354,234048,1,4,0,3185,0,0,0,0,0,0,0,0,0,2027,0,0,25934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUIRRE VALLEY,2,5322,0,0,0,0,0,4391,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0,0,0,0,1938,0,0,0,0,0,4,0,3,7641,962,48,0,5043,0,10655,0,2221943,17292,11439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDS VALLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,292,8419,8834,2391,223,10273,0,11,0,2512734,0,1008,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON WASH,0,26,4,0,0,0,0,3,0,0,0,0,0,393,17,0,0,7,0,0,0,0,0,0,0,0,0,10546,0,0,0,0,0,8,0,20,9345,2243,138,60,7511,0,28140,0,6362483,76186,75969,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
