"GEO_ID","NAME","B19013H_001M","B19013H_001MA","B19013H_001E","B19013H_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","7897","null","49109","null",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","10570","null","67692","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","3826","null","71622","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","10985","null","62617","null",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","8780","null","53603","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","11209","null","51292","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","3952","null","56132","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","7605","null","46923","null",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","17812","null","58523","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","9669","null","49441","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","12720","null","60000","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","8668","null","63500","null",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","4620","null","69661","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","11607","null","81139","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","15798","null","62095","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","7007","null","70250","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","15313","null","59444","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","12948","null","74788","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","27843","null","65852","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","10339","null","56726","null",
