"GEO_ID","NAME","B19013H_001E","B19013H_001EA","B19013H_001M","B19013H_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","59188","null","16317","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","54539","null","9409","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","52781","null","12224","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","45960","null","5622","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","74750","null","14791","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","42216","null","16585","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","53242","null","13650","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","48875","null","9433","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","46250","null","10458","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","58132","null","10120","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","48150","null","11966","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","45000","null","19518","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","45357","null","9518","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","55875","null","17961","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","88105","null","15846","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","81154","null","13167","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","51991","null","16019","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","68333","null","22814","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","74500","null","48439","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","77386","null","23875","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","71250","null","19668","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","49612","null","11304","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","73815","null","7460","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","67885","null","22352","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","75046","null","19742","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","54643","null","21794","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","59167","null","13383","null",
