"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","24304","null","2186","null",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","26074","null","3430","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","29280","null","9098","null",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","23159","null","1904","null",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","20763","null","2084","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","26240","null","2440","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","20444","null","3581","null",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","24558","null","2563","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","21005","null","6718","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","20455","null","2478","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","18698","null","2320","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","20065","null","2699","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","20398","null","3268","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","16049","null","1857","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","14790","null","1662","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","13069","null","1456","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","13421","null","1794","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","22035","null","2224","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","20705","null","1873","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","20114","null","2145","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","16144","null","1727","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","33471","null","3158","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","29328","null","3433","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","24532","null","2941","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","23202","null","2683","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","28374","null","3488","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","20002","null","2492","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","21422","null","2360","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","22450","null","2237","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","22674","null","5355","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","18196","null","3292","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","20184","null","1731","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","17111","null","1697","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","18292","null","2282","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","21114","null","2260","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","17663","null","2140","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","14573","null","2234","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","15850","null","2442","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","17845","null","2094","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","21505","null","2290","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","17255","null","1830","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","19464","null","1819","null",
