"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","19541","2391","null","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","19122","5937","null","null",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","15288","2119","null","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","16387","1674","null","null",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","17202","2969","null","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","21588","4676","null","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","16315","2281","null","null",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","11547","1649","null","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","12023","1535","null","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","11843","2512","null","null",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","21140","2111","null","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","19273","2796","null","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","17339","2934","null","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","17994","2121","null","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","32571","3746","null","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","30800","3004","null","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","26513","3360","null","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","23154","2247","null","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","27130","5125","null","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","21081","3187","null","null",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","20144","2775","null","null",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","21783","2561","null","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","20916","2829","null","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","15817","2709","null","null",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","17789","1748","null","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","15152","1787","null","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","19165","2625","null","null",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","17561","3459","null","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","20533","2429","null","null",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","12144","1262","null","null",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","11261","2002","null","null",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","15265","2152","null","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","18088","1801","null","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","13391","1629","null","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","20732","2890","null","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","22903","3241","null","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","19343","2547","null","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","19693","2780","null","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","26184","6534","null","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","14608","2499","null","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","15739","2247","null","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","14998","2269","null","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","22862","3014","null","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","18025","2050","null","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","11217","2186","null","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","16741","3100","null","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","25614","5280","null","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","18107","1767","null","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","24753","2509","null","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","15204","2361","null","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","19006","2412","null","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","20026","2255","null","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","11975","1555","null","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","18084","3683","null","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","15859","2829","null","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","11794","1958","null","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","23379","2819","null","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","26800","3448","null","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","29322","2711","null","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","26196","2905","null","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","21457","2765","null","null",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","8819","1463","null","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","10614","1491","null","null",
