"GEO_ID","NAME","B19001F_001E","B19001F_001EA","B19001F_001M","B19001F_001MA","B19001F_002E","B19001F_002EA","B19001F_002M","B19001F_002MA","B19001F_003E","B19001F_003M","B19001F_003MA","B19001F_003EA","B19001F_004E","B19001F_004EA","B19001F_004M","B19001F_004MA","B19001F_005E","B19001F_005EA","B19001F_005M","B19001F_005MA","B19001F_006E","B19001F_006EA","B19001F_006M","B19001F_006MA","B19001F_007E","B19001F_007M","B19001F_007MA","B19001F_007EA","B19001F_008E","B19001F_008EA","B19001F_008M","B19001F_008MA","B19001F_009E","B19001F_009EA","B19001F_009M","B19001F_009MA","B19001F_010E","B19001F_010EA","B19001F_010M","B19001F_010MA","B19001F_011E","B19001F_011EA","B19001F_011M","B19001F_011MA","B19001F_012E","B19001F_012EA","B19001F_012M","B19001F_012MA","B19001F_013E","B19001F_013EA","B19001F_013M","B19001F_013MA","B19001F_014E","B19001F_014EA","B19001F_014M","B19001F_014MA","B19001F_015E","B19001F_015EA","B19001F_015M","B19001F_015MA","B19001F_016E","B19001F_016EA","B19001F_016M","B19001F_016MA","B19001F_017E","B19001F_017EA","B19001F_017M","B19001F_017MA",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","16","null","25","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","16","25","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","14","null","18","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","11","null","17","null","0","null","13","null","3","null","7","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","79","null","81","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","33","null","54","null","5","null","15","null","0","null","19","null","20","null","33","null","0","null","19","null","21","null","33","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","9","null","15","null","0","null","13","null","0","13","null","null","0","null","13","null","9","null","15","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","34","null","44","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","25","null","39","null","9","null","19","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","31","null","34","null","0","null","19","null","0","19","null","null","16","null","25","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","15","null","24","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","26","null","39","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","26","null","39","null","0","null","13","null",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","15","null","24","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","15","null","24","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040532","Census Tract 405.32, Maricopa County, Arizona","5","null","10","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","5","10","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013040533","Census Tract 405.33, Maricopa County, Arizona","20","null","33","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","20","null","33","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040534","Census Tract 405.34, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040535","Census Tract 405.35, Maricopa County, Arizona","26","null","38","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","26","null","38","null",
"1400000US04013040536","Census Tract 405.36, Maricopa County, Arizona","85","null","96","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","23","null","38","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","62","null","90","null",
"1400000US04013040537","Census Tract 405.37, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040538","Census Tract 405.38, Maricopa County, Arizona","21","null","34","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","21","null","34","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013040539","Census Tract 405.39, Maricopa County, Arizona","7","null","11","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","7","null","11","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013040540","Census Tract 405.40, Maricopa County, Arizona","71","null","69","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","29","null","44","null","19","null","36","null","0","null","19","null","23","null","43","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013040541","Census Tract 405.41, Maricopa County, Arizona","73","null","99","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","10","null","14","null","0","null","13","null","63","null","95","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","85","null","57","null","26","null","34","null","0","19","null","null","0","null","19","null","0","null","19","null","20","null","24","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","15","null","24","null","14","null","22","null","0","null","19","null","10","null","17","null","0","null","19","null",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","87","null","50","null","18","null","29","null","0","13","null","null","13","null","18","null","7","null","14","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","10","null","16","null","0","null","13","null","15","null","23","null","24","null","26","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","232","null","109","null","0","null","19","null","0","19","null","null","58","null","79","null","0","null","19","null","0","null","19","null","2","5","null","null","0","null","19","null","0","null","19","null","0","null","19","null","61","null","84","null","0","null","19","null","55","null","51","null","12","null","20","null","0","null","19","null","44","null","62","null","0","null","19","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","276","null","134","null","0","null","19","null","0","19","null","null","23","null","37","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","22","null","33","null","0","null","19","null","89","null","99","null","24","null","34","null","38","null","53","null","46","null","59","null","34","null","53","null","0","null","19","null",
"1400000US04013050612","Census Tract 506.12, Maricopa County, Arizona","322","null","167","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","62","null","69","null","0","19","null","null","0","null","19","null","18","null","30","null","38","null","61","null","57","null","86","null","30","null","37","null","0","null","19","null","117","null","125","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013050613","Census Tract 506.13, Maricopa County, Arizona","59","null","66","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","22","null","41","null","0","null","19","null","37","null","49","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013050614","Census Tract 506.14, Maricopa County, Arizona","153","null","93","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","17","null","30","null","0","null","13","null","0","null","13","null","51","null","74","null","0","null","13","null","0","null","13","null","0","null","13","null","85","null","94","null","0","null","13","null","0","null","13","null",
"1400000US04013050615","Census Tract 506.15, Maricopa County, Arizona","63","null","55","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","17","null","27","null","0","null","19","null","20","null","30","null","0","null","19","null","0","null","19","null","14","null","26","null","12","null","20","null",
"1400000US04013050616","Census Tract 506.16, Maricopa County, Arizona","151","null","98","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","33","null","48","null","0","null","13","null","0","null","13","null","92","null","96","null","0","null","13","null","26","null","44","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013050617","Census Tract 506.17, Maricopa County, Arizona","100","null","102","null","0","null","19","null","0","19","null","null","64","null","93","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","36","null","42","null",
"1400000US04013050618","Census Tract 506.18, Maricopa County, Arizona","25","null","36","null","5","null","9","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","20","null","34","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013050619","Census Tract 506.19, Maricopa County, Arizona","204","null","124","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","114","null","106","null","0","null","19","null","13","null","21","null","0","null","19","null","67","null","77","null","10","null","20","null",
"1400000US04013050620","Census Tract 506.20, Maricopa County, Arizona","187","null","144","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","114","null","81","null","0","null","19","null","0","null","19","null","73","null","108","null","0","null","19","null",
"1400000US04013050621","Census Tract 506.21, Maricopa County, Arizona","74","null","53","null","0","null","19","null","0","19","null","null","0","null","19","null","17","null","27","null","0","null","19","null","0","19","null","null","0","null","19","null","14","null","27","null","4","null","8","null","0","null","19","null","19","null","30","null","0","null","19","null","10","null","16","null","0","null","19","null","10","null","17","null","0","null","19","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","317","null","145","null","0","null","19","null","0","19","null","null","0","null","19","null","13","null","22","null","0","null","19","null","37","61","null","null","49","null","46","null","96","null","100","null","0","null","19","null","15","null","24","null","49","null","57","null","39","null","42","null","0","null","19","null","0","null","19","null","0","null","19","null","19","null","23","null",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","367","null","141","null","20","null","23","null","7","11","null","null","43","null","51","null","12","null","20","null","0","null","19","null","38","44","null","null","5","null","12","null","15","null","24","null","65","null","72","null","14","null","23","null","63","null","72","null","12","null","19","null","0","null","19","null","17","null","26","null","42","null","60","null","14","null","20","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","247","null","121","null","28","null","34","null","36","40","null","null","20","null","35","null","0","null","19","null","0","null","19","null","45","59","null","null","0","null","19","null","16","null","26","null","0","null","19","null","14","null","26","null","17","null","29","null","49","null","71","null","8","null","17","null","14","null","22","null","0","null","19","null","0","null","19","null",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","42","null","37","null","0","null","13","null","0","13","null","null","6","null","8","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","9","null","5","null","7","null","24","null","35","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","149","null","85","null","0","null","13","null","0","13","null","null","47","null","70","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","27","null","36","null","54","null","74","null","21","null","23","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","289","null","227","null","152","null","212","null","25","36","null","null","42","null","47","null","0","null","13","null","8","null","11","null","0","13","null","null","24","null","38","null","0","null","13","null","0","null","13","null","5","null","9","null","25","null","35","null","8","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","264","null","120","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","4","null","7","null","0","null","19","null","0","null","19","null","103","null","107","null","12","null","21","null","124","null","108","null","7","null","11","null","0","null","19","null","14","null","24","null","0","null","19","null",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","190","null","89","null","0","null","13","null","14","19","null","null","0","null","13","null","0","null","13","null","7","null","7","null","22","31","null","null","21","null","29","null","0","null","13","null","9","null","14","null","67","null","67","null","4","null","6","null","15","null","25","null","19","null","25","null","12","null","20","null","0","null","13","null","0","null","13","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","21","null","24","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","13","null","21","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","8","null","13","null","0","null","19","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","12","null","20","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","12","null","20","null","0","null","19","null","0","null","19","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","131","null","70","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","16","null","24","null","0","null","19","null","0","null","19","null","0","null","19","null","15","null","25","null","34","null","50","null","0","null","19","null","40","null","44","null","26","null","37","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","99","null","69","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","42","null","50","null","0","null","19","null","0","null","19","null","0","null","19","null","13","null","20","null","15","null","23","null","0","null","19","null","29","null","33","null","0","null","19","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","134","null","103","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","9","null","23","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","75","null","76","null","0","null","19","null","50","null","59","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","50","null","54","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","50","null","54","null","0","null","13","null","0","null","13","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","36","null","42","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","7","null","12","null","29","null","40","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","60","null","43","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","7","null","11","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","41","null","43","null","4","null","6","null","8","null","12","null","0","null","13","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","58","null","89","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","58","89","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","62","null","67","null","0","null","19","null","0","19","null","null","0","null","19","null","35","null","59","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","9","null","15","null","0","null","19","null","18","null","27","null","0","null","19","null","0","null","19","null",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","35","null","26","null","0","null","13","null","9","15","null","null","0","null","13","null","15","null","18","null","11","null","15","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","21","null","24","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","7","null","9","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","14","null","22","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","51","null","48","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","9","null","16","null","0","null","19","null","42","null","46","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","129","null","91","null","0","null","19","null","0","19","null","null","0","null","19","null","13","null","20","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","34","null","51","null","0","null","19","null","75","null","70","null","0","null","19","null","7","null","14","null","0","null","19","null","0","null","19","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","17","null","31","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","17","null","31","null","0","null","19","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","20","null","35","null","0","null","19","null","20","35","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","37","null","45","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","10","null","16","null","0","null","13","null","0","null","13","null","27","null","44","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","112","null","67","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","12","null","20","null","0","null","19","null","0","null","19","null","0","null","19","null","25","null","26","null","48","null","61","null","13","null","19","null","14","null","22","null","0","null","19","null",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","93","null","105","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","65","null","96","null","0","null","13","null","0","null","13","null","6","null","11","null","0","null","13","null","12","null","25","null","0","null","13","null","0","null","13","null","10","null","17","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","25","null","29","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","8","null","13","null","0","null","19","null","0","null","19","null","17","null","27","null","0","null","19","null","0","null","19","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","20","null","24","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","13","null","21","null","0","13","null","null","0","null","13","null","7","null","14","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","140","null","91","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","13","null","22","null","0","null","13","null","0","null","13","null","13","null","20","null","23","null","36","null","66","null","65","null","13","null","23","null","12","null","21","null","0","null","13","null","0","null","13","null",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","31","null","29","null","0","null","13","null","4","7","null","null","0","null","13","null","0","null","13","null","22","null","27","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","5","null","9","null","0","null","13","null",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","63","null","43","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","9","null","13","null","3","null","13","null","23","null","31","null","0","null","13","null","0","null","13","null","0","null","13","null","28","null","33","null","0","null","13","null","0","null","13","null",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","204","null","154","null","0","null","19","null","0","19","null","null","0","null","19","null","46","null","75","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","70","null","90","null","71","null","91","null","0","null","19","null","0","null","19","null","0","null","19","null","17","null","30","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","71","null","61","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","19","null","32","null","0","19","null","null","0","null","19","null","0","null","19","null","15","null","23","null","12","null","20","null","0","null","19","null","0","null","19","null","20","null","33","null","0","null","19","null","5","null","9","null","0","null","19","null",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","233","null","98","null","24","null","40","null","0","19","null","null","12","null","19","null","0","null","19","null","48","null","62","null","15","25","null","null","0","null","19","null","20","null","31","null","16","null","21","null","14","null","24","null","11","null","18","null","29","null","44","null","37","null","54","null","7","null","12","null","0","null","19","null","0","null","19","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","31","null","33","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","17","null","26","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","14","null","20","null","0","null","13","null",
