"GEO_ID","NAME","B19013B_001M","B19013B_001MA","B19013B_001E","B19013B_001EA",
"1400000US04013105602","Census Tract 1056.02, Maricopa County, Arizona","34154","null","48179","null",
"1400000US04013105701","Census Tract 1057.01, Maricopa County, Arizona","516","null","9015","null",
"1400000US04013105702","Census Tract 1057.02, Maricopa County, Arizona","21662","null","32952","null",
"1400000US04013105800","Census Tract 1058, Maricopa County, Arizona","10677","null","60568","null",
"1400000US04013105900","Census Tract 1059, Maricopa County, Arizona","1989","null","8906","null",
"1400000US04013106001","Census Tract 1060.01, Maricopa County, Arizona","95259","null","45379","null",
"1400000US04013106002","Census Tract 1060.02, Maricopa County, Arizona","113060","null","6638","null",
"1400000US04013106003","Census Tract 1060.03, Maricopa County, Arizona","7239","null","17643","null",
"1400000US04013106100","Census Tract 1061, Maricopa County, Arizona","21605","null","26101","null",
"1400000US04013106200","Census Tract 1062, Maricopa County, Arizona","**","**","-","-",
"1400000US04013106300","Census Tract 1063, Maricopa County, Arizona","29832","null","31346","null",
"1400000US04013106400","Census Tract 1064, Maricopa County, Arizona","23096","null","37773","null",
"1400000US04013106501","Census Tract 1065.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013106502","Census Tract 1065.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013106600","Census Tract 1066, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013106701","Census Tract 1067.01, Maricopa County, Arizona","9099","null","36159","null",
"1400000US04013106702","Census Tract 1067.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013106703","Census Tract 1067.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013106801","Census Tract 1068.01, Maricopa County, Arizona","2515","null","20799","null",
"1400000US04013106802","Census Tract 1068.02, Maricopa County, Arizona","45107","null","18824","null",
"1400000US04013106900","Census Tract 1069, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013107000","Census Tract 1070, Maricopa County, Arizona","24730","null","25440","null",
"1400000US04013107101","Census Tract 1071.01, Maricopa County, Arizona","60664","null","37778","null",
"1400000US04013107102","Census Tract 1071.02, Maricopa County, Arizona","19795","null","35154","null",
"1400000US04013107201","Census Tract 1072.01, Maricopa County, Arizona","12251","null","18750","null",
"1400000US04013107202","Census Tract 1072.02, Maricopa County, Arizona","31732","null","4102","null",
"1400000US04013107300","Census Tract 1073, Maricopa County, Arizona","19033","null","27316","null",
"1400000US04013107400","Census Tract 1074, Maricopa County, Arizona","17617","null","28438","null",
"1400000US04013107500","Census Tract 1075, Maricopa County, Arizona","61866","null","39549","null",
"1400000US04013107601","Census Tract 1076.01, Maricopa County, Arizona","28186","null","26944","null",
"1400000US04013107602","Census Tract 1076.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013107700","Census Tract 1077, Maricopa County, Arizona","161983","null","82536","null",
"1400000US04013107800","Census Tract 1078, Maricopa County, Arizona","***","***","250,000+","250,000+",
"1400000US04013107900","Census Tract 1079, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013108000","Census Tract 1080, Maricopa County, Arizona","**","**","-","-",
"1400000US04013108100","Census Tract 1081, Maricopa County, Arizona","**","**","-","-",
"1400000US04013108200","Census Tract 1082, Maricopa County, Arizona","**","**","-","-",
"1400000US04013108301","Census Tract 1083.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013108302","Census Tract 1083.02, Maricopa County, Arizona","41569","null","30391","null",
"1400000US04013108400","Census Tract 1084, Maricopa County, Arizona","16361","null","16250","null",
"1400000US04013108501","Census Tract 1085.01, Maricopa County, Arizona","70746","null","45893","null",
"1400000US04013108502","Census Tract 1085.02, Maricopa County, Arizona","77197","null","27019","null",
"1400000US04013108601","Census Tract 1086.01, Maricopa County, Arizona","9265","null","20950","null",
"1400000US04013108602","Census Tract 1086.02, Maricopa County, Arizona","65893","null","52675","null",
"1400000US04013108802","Census Tract 1088.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013108901","Census Tract 1089.01, Maricopa County, Arizona","123015","null","7177","null",
"1400000US04013108902","Census Tract 1089.02, Maricopa County, Arizona","24447","null","14886","null",
"1400000US04013109001","Census Tract 1090.01, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013109002","Census Tract 1090.02, Maricopa County, Arizona","23675","null","13333","null",
"1400000US04013109003","Census Tract 1090.03, Maricopa County, Arizona","28727","null","46314","null",
"1400000US04013109101","Census Tract 1091.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013109102","Census Tract 1091.02, Maricopa County, Arizona","36968","null","21713","null",
"1400000US04013109200","Census Tract 1092, Maricopa County, Arizona","47104","null","68548","null",
"1400000US04013109300","Census Tract 1093, Maricopa County, Arizona","**","**","-","-",
"1400000US04013109400","Census Tract 1094, Maricopa County, Arizona","7675","null","16612","null",
"1400000US04013109500","Census Tract 1095, Maricopa County, Arizona","16336","null","25875","null",
"1400000US04013109601","Census Tract 1096.01, Maricopa County, Arizona","40344","null","21719","null",
"1400000US04013109602","Census Tract 1096.02, Maricopa County, Arizona","26274","null","25469","null",
"1400000US04013109603","Census Tract 1096.03, Maricopa County, Arizona","102154","null","44219","null",
"1400000US04013109604","Census Tract 1096.04, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013109701","Census Tract 1097.01, Maricopa County, Arizona","19212","null","30172","null",
"1400000US04013109702","Census Tract 1097.02, Maricopa County, Arizona","21399","null","25375","null",
"1400000US04013109703","Census Tract 1097.03, Maricopa County, Arizona","29496","null","38306","null",
"1400000US04013109704","Census Tract 1097.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013109705","Census Tract 1097.05, Maricopa County, Arizona","21294","null","23148","null",
"1400000US04013109801","Census Tract 1098.01, Maricopa County, Arizona","27827","null","21250","null",
"1400000US04013109802","Census Tract 1098.02, Maricopa County, Arizona","16220","null","76875","null",
"1400000US04013109900","Census Tract 1099, Maricopa County, Arizona","26159","null","42750","null",
"1400000US04013110001","Census Tract 1100.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013110002","Census Tract 1100.02, Maricopa County, Arizona","18530","null","31667","null",
"1400000US04013110100","Census Tract 1101, Maricopa County, Arizona","**","**","-","-",
"1400000US04013110400","Census Tract 1104, Maricopa County, Arizona","77382","null","50227","null",
"1400000US04013110501","Census Tract 1105.01, Maricopa County, Arizona","4833","null","31250","null",
"1400000US04013110502","Census Tract 1105.02, Maricopa County, Arizona","105797","null","36442","null",
"1400000US04013110600","Census Tract 1106, Maricopa County, Arizona","98687","null","94256","null",
"1400000US04013110701","Census Tract 1107.01, Maricopa County, Arizona","19032","null","39773","null",
"1400000US04013110702","Census Tract 1107.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013110801","Census Tract 1108.01, Maricopa County, Arizona","70855","null","55893","null",
"1400000US04013110802","Census Tract 1108.02, Maricopa County, Arizona","36352","null","22692","null",
"1400000US04013110901","Census Tract 1109.01, Maricopa County, Arizona","96770","null","72885","null",
"1400000US04013110902","Census Tract 1109.02, Maricopa County, Arizona","12353","null","16307","null",
"1400000US04013111000","Census Tract 1110, Maricopa County, Arizona","29274","null","36984","null",
"1400000US04013111100","Census Tract 1111, Maricopa County, Arizona","63914","null","4712","null",
"1400000US04013111201","Census Tract 1112.01, Maricopa County, Arizona","21435","null","27875","null",
"1400000US04013111202","Census Tract 1112.02, Maricopa County, Arizona","35845","null","28250","null",
"1400000US04013111203","Census Tract 1112.03, Maricopa County, Arizona","31943","null","36429","null",
"1400000US04013111204","Census Tract 1112.04, Maricopa County, Arizona","5351","null","30043","null",
"1400000US04013111300","Census Tract 1113, Maricopa County, Arizona","12001","null","20441","null",
"1400000US04013111401","Census Tract 1114.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013111402","Census Tract 1114.02, Maricopa County, Arizona","37781","null","19960","null",
"1400000US04013111501","Census Tract 1115.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013111502","Census Tract 1115.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013111601","Census Tract 1116.01, Maricopa County, Arizona","78268","null","58043","null",
"1400000US04013111602","Census Tract 1116.02, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013111700","Census Tract 1117, Maricopa County, Arizona","34079","null","30962","null",
"1400000US04013111800","Census Tract 1118, Maricopa County, Arizona","14375","null","29211","null",
"1400000US04013111900","Census Tract 1119, Maricopa County, Arizona","**","**","-","-",
"1400000US04013112100","Census Tract 1121, Maricopa County, Arizona","103175","null","80450","null",
"1400000US04013112201","Census Tract 1122.01, Maricopa County, Arizona","39905","null","27813","null",
"1400000US04013112202","Census Tract 1122.02, Maricopa County, Arizona","27986","null","30313","null",
"1400000US04013112301","Census Tract 1123.01, Maricopa County, Arizona","17469","null","17625","null",
"1400000US04013112302","Census Tract 1123.02, Maricopa County, Arizona","27460","null","40000","null",
"1400000US04013112401","Census Tract 1124.01, Maricopa County, Arizona","178385","null","175789","null",
"1400000US04013112402","Census Tract 1124.02, Maricopa County, Arizona","32747","null","32500","null",
"1400000US04013112502","Census Tract 1125.02, Maricopa County, Arizona","112417","null","21458","null",
"1400000US04013112503","Census Tract 1125.03, Maricopa County, Arizona","26975","null","48750","null",
"1400000US04013112504","Census Tract 1125.04, Maricopa County, Arizona","10792","null","7955","null",
"1400000US04013112505","Census Tract 1125.05, Maricopa County, Arizona","22017","null","55096","null",
"1400000US04013112507","Census Tract 1125.07, Maricopa County, Arizona","34675","null","12375","null",
"1400000US04013112508","Census Tract 1125.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013112509","Census Tract 1125.09, Maricopa County, Arizona","18289","null","34394","null",
"1400000US04013112510","Census Tract 1125.10, Maricopa County, Arizona","2021","null","26976","null",
"1400000US04013112511","Census Tract 1125.11, Maricopa County, Arizona","38554","null","79000","null",
"1400000US04013112512","Census Tract 1125.12, Maricopa County, Arizona","41266","null","35714","null",
"1400000US04013112513","Census Tract 1125.13, Maricopa County, Arizona","80964","null","78636","null",
"1400000US04013112514","Census Tract 1125.14, Maricopa County, Arizona","17262","null","40652","null",
"1400000US04013112601","Census Tract 1126.01, Maricopa County, Arizona","22348","null","11938","null",
"1400000US04013112602","Census Tract 1126.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013112700","Census Tract 1127, Maricopa County, Arizona","77873","null","67625","null",
"1400000US04013112900","Census Tract 1129, Maricopa County, Arizona","35897","null","61467","null",
"1400000US04013113000","Census Tract 1130, Maricopa County, Arizona","**","**","-","-",
"1400000US04013113100","Census Tract 1131, Maricopa County, Arizona","20819","null","14899","null",
"1400000US04013113201","Census Tract 1132.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013113202","Census Tract 1132.02, Maricopa County, Arizona","124064","null","105375","null",
"1400000US04013113203","Census Tract 1132.03, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013113300","Census Tract 1133, Maricopa County, Arizona","6981","null","9766","null",
"1400000US04013113400","Census Tract 1134, Maricopa County, Arizona","**","**","-","-",
