"GEO_ID","NAME","B19013B_001E","B19013B_001EA","B19013B_001M","B19013B_001MA",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","35521","null","6145","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","42734","null","28038","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","25000","null","8096","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","62115","null","45194","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","31875","null","17494","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","46167","null","17487","null",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","40133","null","27875","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","44643","null","14321","null",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","2,500-","2,500-","***","***",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","30735","null","30518","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","81607","null","10706","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","58688","null","42417","null",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","32692","null","12478","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","29883","null","15613","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","61193","null","33699","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","46719","null","35789","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","32277","null","23038","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","19071","null","3709","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","32656","null","31893","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","45661","null","3913","null",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","102083","null","71122","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","55329","null","25702","null",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","-","-","**","**",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","9358","null","4942","null",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","17617","null","7016","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","22344","null","12205","null",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","31048","null","18328","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","29349","null","14825","null",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","14882","null","12221","null",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","30363","null","5124","null",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","null","null","null","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","21875","null","9781","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","47971","null","5340","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","null","null","null","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","50078","null","47876","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","46170","null","19220","null",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","null","null","null","null",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","43015","null","23666","null",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","null","null","null","null",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","18229","null","10316","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","88789","null","20610","null",
"1400000US04013103608","Census Tract 1036.08, Maricopa County, Arizona","42336","null","16095","null",
"1400000US04013103609","Census Tract 1036.09, Maricopa County, Arizona","36250","null","14504","null",
"1400000US04013103611","Census Tract 1036.11, Maricopa County, Arizona","null","null","null","null",
"1400000US04013103612","Census Tract 1036.12, Maricopa County, Arizona","null","null","null","null",
"1400000US04013103614","Census Tract 1036.14, Maricopa County, Arizona","-","-","**","**",
"1400000US04013103615","Census Tract 1036.15, Maricopa County, Arizona","17924","null","2033","null",
"1400000US04013103701","Census Tract 1037.01, Maricopa County, Arizona","null","null","null","null",
"1400000US04013103702","Census Tract 1037.02, Maricopa County, Arizona","51528","null","26783","null",
"1400000US04013103900","Census Tract 1039, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104000","Census Tract 1040, Maricopa County, Arizona","42528","null","21810","null",
"1400000US04013104100","Census Tract 1041, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104202","Census Tract 1042.02, Maricopa County, Arizona","56196","null","26187","null",
"1400000US04013104203","Census Tract 1042.03, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104204","Census Tract 1042.04, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104205","Census Tract 1042.05, Maricopa County, Arizona","46413","null","3899","null",
"1400000US04013104206","Census Tract 1042.06, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104207","Census Tract 1042.07, Maricopa County, Arizona","40927","null","16237","null",
"1400000US04013104212","Census Tract 1042.12, Maricopa County, Arizona","60995","null","5236","null",
"1400000US04013104214","Census Tract 1042.14, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104215","Census Tract 1042.15, Maricopa County, Arizona","40643","null","26888","null",
"1400000US04013104216","Census Tract 1042.16, Maricopa County, Arizona","71743","null","23914","null",
"1400000US04013104217","Census Tract 1042.17, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104218","Census Tract 1042.18, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104219","Census Tract 1042.19, Maricopa County, Arizona","72159","null","33894","null",
"1400000US04013104221","Census Tract 1042.21, Maricopa County, Arizona","8824","null","8515","null",
"1400000US04013104222","Census Tract 1042.22, Maricopa County, Arizona","41589","null","16266","null",
"1400000US04013104223","Census Tract 1042.23, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104224","Census Tract 1042.24, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104225","Census Tract 1042.25, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104226","Census Tract 1042.26, Maricopa County, Arizona","42661","null","19781","null",
"1400000US04013104227","Census Tract 1042.27, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104301","Census Tract 1043.01, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104302","Census Tract 1043.02, Maricopa County, Arizona","22802","null","22193","null",
"1400000US04013104401","Census Tract 1044.01, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104402","Census Tract 1044.02, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104501","Census Tract 1045.01, Maricopa County, Arizona","15066","null","3312","null",
"1400000US04013104502","Census Tract 1045.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104600","Census Tract 1046, Maricopa County, Arizona","26164","null","14590","null",
"1400000US04013104701","Census Tract 1047.01, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104702","Census Tract 1047.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104801","Census Tract 1048.01, Maricopa County, Arizona","-","-","**","**",
"1400000US04013104802","Census Tract 1048.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013104900","Census Tract 1049, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105002","Census Tract 1050.02, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105003","Census Tract 1050.03, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105004","Census Tract 1050.04, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105101","Census Tract 1051.01, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105102","Census Tract 1051.02, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105103","Census Tract 1051.03, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105200","Census Tract 1052, Maricopa County, Arizona","null","null","null","null",
"1400000US04013105300","Census Tract 1053, Maricopa County, Arizona","null","null","null","null",
"1400000US04013105400","Census Tract 1054, Maricopa County, Arizona","25263","null","10478","null",
"1400000US04013105501","Census Tract 1055.01, Maricopa County, Arizona","17946","null","12049","null",
"1400000US04013105502","Census Tract 1055.02, Maricopa County, Arizona","32218","null","9482","null",
"1400000US04013105503","Census Tract 1055.03, Maricopa County, Arizona","15909","null","6661","null",
"1400000US04013105601","Census Tract 1056.01, Maricopa County, Arizona","-","-","**","**",
"1400000US04013105602","Census Tract 1056.02, Maricopa County, Arizona","19840","null","13427","null",
"1400000US04013105701","Census Tract 1057.01, Maricopa County, Arizona","29911","null","24238","null",
"1400000US04013105702","Census Tract 1057.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013105800","Census Tract 1058, Maricopa County, Arizona","null","null","null","null",
"1400000US04013105900","Census Tract 1059, Maricopa County, Arizona","8672","null","4231","null",
"1400000US04013106001","Census Tract 1060.01, Maricopa County, Arizona","9440","null","4874","null",
"1400000US04013106002","Census Tract 1060.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013106003","Census Tract 1060.03, Maricopa County, Arizona","78611","null","73628","null",
"1400000US04013106100","Census Tract 1061, Maricopa County, Arizona","-","-","**","**",
"1400000US04013106200","Census Tract 1062, Maricopa County, Arizona","-","-","**","**",
"1400000US04013106300","Census Tract 1063, Maricopa County, Arizona","17898","null","2696","null",
"1400000US04013106400","Census Tract 1064, Maricopa County, Arizona","48831","null","13224","null",
"1400000US04013106501","Census Tract 1065.01, Maricopa County, Arizona","-","-","**","**",
"1400000US04013106502","Census Tract 1065.02, Maricopa County, Arizona","29524","null","3071","null",
"1400000US04013106600","Census Tract 1066, Maricopa County, Arizona","85500","null","63603","null",
"1400000US04013106701","Census Tract 1067.01, Maricopa County, Arizona","26250","null","24403","null",
"1400000US04013106702","Census Tract 1067.02, Maricopa County, Arizona","26136","null","19645","null",
"1400000US04013106703","Census Tract 1067.03, Maricopa County, Arizona","91250","null","8794","null",
"1400000US04013106801","Census Tract 1068.01, Maricopa County, Arizona","18594","null","7101","null",
"1400000US04013106802","Census Tract 1068.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013106900","Census Tract 1069, Maricopa County, Arizona","45234","null","16342","null",
"1400000US04013107000","Census Tract 1070, Maricopa County, Arizona","null","null","null","null",
"1400000US04013107101","Census Tract 1071.01, Maricopa County, Arizona","null","null","null","null",
"1400000US04013107102","Census Tract 1071.02, Maricopa County, Arizona","null","null","null","null",
"1400000US04013107201","Census Tract 1072.01, Maricopa County, Arizona","null","null","null","null",
"1400000US04013107202","Census Tract 1072.02, Maricopa County, Arizona","-","-","**","**",
"1400000US04013107300","Census Tract 1073, Maricopa County, Arizona","17532","null","14887","null",
"1400000US04013107400","Census Tract 1074, Maricopa County, Arizona","17283","null","5610","null",
"1400000US04013107500","Census Tract 1075, Maricopa County, Arizona","54517","null","11167","null",
"1400000US04013107601","Census Tract 1076.01, Maricopa County, Arizona","8466","null","6558","null",
"1400000US04013107602","Census Tract 1076.02, Maricopa County, Arizona","9792","null","7067","null",
"1400000US04013107700","Census Tract 1077, Maricopa County, Arizona","35972","null","5567","null",
"1400000US04013107800","Census Tract 1078, Maricopa County, Arizona","-","-","**","**",
"1400000US04013107900","Census Tract 1079, Maricopa County, Arizona","-","-","**","**",
"1400000US04013108000","Census Tract 1080, Maricopa County, Arizona","-","-","**","**",
"1400000US04013108100","Census Tract 1081, Maricopa County, Arizona","-","-","**","**",
"1400000US04013108200","Census Tract 1082, Maricopa County, Arizona","null","null","null","null",
"1400000US04013108301","Census Tract 1083.01, Maricopa County, Arizona","-","-","**","**",
"1400000US04013108302","Census Tract 1083.02, Maricopa County, Arizona","-","-","**","**",
"1400000US04013108400","Census Tract 1084, Maricopa County, Arizona","11178","null","640","null",
