"GEO_ID","NAME","B19001D_001E","B19001D_001EA","B19001D_001M","B19001D_001MA","B19001D_002E","B19001D_002EA","B19001D_002M","B19001D_002MA","B19001D_003E","B19001D_003EA","B19001D_003M","B19001D_003MA","B19001D_004E","B19001D_004M","B19001D_004MA","B19001D_004EA","B19001D_005E","B19001D_005M","B19001D_005MA","B19001D_005EA","B19001D_006E","B19001D_006M","B19001D_006MA","B19001D_006EA","B19001D_007E","B19001D_007EA","B19001D_007M","B19001D_007MA","B19001D_008E","B19001D_008EA","B19001D_008M","B19001D_008MA","B19001D_009E","B19001D_009EA","B19001D_009M","B19001D_009MA","B19001D_010E","B19001D_010M","B19001D_010MA","B19001D_010EA","B19001D_011E","B19001D_011M","B19001D_011MA","B19001D_011EA","B19001D_012E","B19001D_012EA","B19001D_012M","B19001D_012MA","B19001D_013E","B19001D_013EA","B19001D_013M","B19001D_013MA","B19001D_014E","B19001D_014EA","B19001D_014M","B19001D_014MA","B19001D_015E","B19001D_015M","B19001D_015MA","B19001D_015EA","B19001D_016E","B19001D_016EA","B19001D_016M","B19001D_016MA","B19001D_017E","B19001D_017M","B19001D_017MA","B19001D_017EA",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","30","null","31","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","14","null","22","null","16","null","23","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","54","null","49","null","9","null","12","null","0","null","12","null","13","23","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","22","null","35","null","0","12","null","null","10","15","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","57","null","41","null","20","null","32","null","0","null","12","null","0","12","null","null","0","12","null","null","22","23","null","null","0","null","12","null","0","null","12","null","0","null","12","null","9","15","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","6","11","null","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","58","null","64","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","17","null","null","0","null","17","null","10","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","30","null","50","null","18","null","31","null","0","17","null","null","0","null","17","null","0","17","null","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","83","null","64","null","5","null","9","null","0","null","12","null","0","12","null","null","6","10","null","null","7","11","null","null","0","null","12","null","0","null","12","null","0","null","12","null","15","25","null","null","6","9","null","null","0","null","12","null","0","null","12","null","0","null","12","null","44","57","null","null","0","null","12","null","0","12","null","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","30","null","41","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","30","41","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","107","null","70","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","10","18","null","null","0","null","12","null","15","null","24","null","0","null","12","null","29","44","null","null","7","10","null","null","33","null","38","null","0","null","12","null","13","null","21","null","0","12","null","null","0","null","12","null","0","12","null","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","60","null","58","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","25","null","41","null","0","null","12","null","0","12","null","null","35","null","45","null","0","12","null","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","128","null","79","null","0","null","17","null","0","null","17","null","0","17","null","null","16","26","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","32","43","null","null","0","17","null","null","16","null","26","null","0","null","17","null","35","null","40","null","29","44","null","null","0","null","17","null","0","17","null","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","52","null","55","null","0","null","17","null","0","null","17","null","13","23","null","null","0","17","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","0","17","null","null","0","17","null","null","0","null","17","null","17","null","27","null","22","null","36","null","0","17","null","null","0","null","17","null","0","17","null","null",
