"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04013617900","Census Tract 6179, Maricopa County, Arizona","833","null","81","null","36","33","null","null","10","15","null","null","12","19","null","null","43","null","36","null","16","25","null","null","66","null","41","null","32","26","null","null","36","34","null","null","53","45","null","null","22","21","null","null","140","60","null","null","127","null","53","null","45","34","null","null","37","39","null","null","92","43","null","null","66","45","null","null",
"1400000US04013618000","Census Tract 6180, Maricopa County, Arizona","1350","null","92","null","62","41","null","null","23","25","null","null","20","22","null","null","43","null","51","null","47","37","null","null","85","null","55","null","46","29","null","null","84","80","null","null","32","27","null","null","126","73","null","null","69","50","null","null","291","null","86","null","185","68","null","null","68","42","null","null","99","47","null","null","70","38","null","null",
"1400000US04013618100","Census Tract 6181, Maricopa County, Arizona","1386","null","103","null","29","25","null","null","20","22","null","null","52","30","null","null","31","null","29","null","47","31","null","null","56","null","39","null","58","37","null","null","53","39","null","null","63","34","null","null","100","46","null","null","143","59","null","null","227","null","80","null","234","84","null","null","122","69","null","null","118","59","null","null","33","29","null","null",
"1400000US04013618200","Census Tract 6182, Maricopa County, Arizona","1109","null","101","null","86","74","null","null","37","46","null","null","9","14","null","null","42","null","41","null","84","38","null","null","26","null","24","null","33","43","null","null","63","52","null","null","43","31","null","null","140","76","null","null","153","75","null","null","204","null","66","null","114","58","null","null","17","20","null","null","41","30","null","null","17","19","null","null",
"1400000US04013618300","Census Tract 6183, Maricopa County, Arizona","986","null","51","null","7","12","null","null","23","21","null","null","57","43","null","null","21","null","23","null","39","30","null","null","12","null","14","null","41","27","null","null","25","20","null","null","50","63","null","null","96","63","null","null","149","77","null","null","245","null","80","null","87","43","null","null","85","50","null","null","31","25","null","null","18","23","null","null",
"1400000US04013618400","Census Tract 6184, Maricopa County, Arizona","1078","null","127","null","15","17","null","null","31","28","null","null","26","22","null","null","18","null","21","null","113","64","null","null","20","null","21","null","35","29","null","null","137","74","null","null","70","41","null","null","90","52","null","null","221","88","null","null","185","null","64","null","101","59","null","null","16","23","null","null","0","12","null","null","0","12","null","null",
"1400000US04013618500","Census Tract 6185, Maricopa County, Arizona","1074","null","119","null","42","43","null","null","23","23","null","null","34","29","null","null","52","null","40","null","117","69","null","null","53","null","47","null","90","70","null","null","75","62","null","null","84","63","null","null","100","54","null","null","116","54","null","null","159","null","84","null","36","34","null","null","28","23","null","null","55","53","null","null","10","15","null","null",
"1400000US04013618600","Census Tract 6186, Maricopa County, Arizona","1160","null","103","null","88","59","null","null","37","35","null","null","82","51","null","null","23","null","21","null","76","49","null","null","81","null","55","null","12","13","null","null","56","37","null","null","74","55","null","null","68","33","null","null","196","95","null","null","167","null","92","null","48","35","null","null","111","83","null","null","12","13","null","null","29","31","null","null",
"1400000US04013618700","Census Tract 6187, Maricopa County, Arizona","686","null","68","null","40","27","null","null","6","9","null","null","32","27","null","null","22","null","22","null","49","26","null","null","23","null","18","null","23","16","null","null","31","36","null","null","24","18","null","null","69","35","null","null","123","52","null","null","89","null","47","null","93","46","null","null","30","22","null","null","10","12","null","null","22","24","null","null",
"1400000US04013618800","Census Tract 6188, Maricopa County, Arizona","1094","null","175","null","125","81","null","null","38","43","null","null","85","56","null","null","142","null","68","null","134","89","null","null","93","null","61","null","96","62","null","null","68","61","null","null","38","39","null","null","66","49","null","null","64","36","null","null","74","null","44","null","40","31","null","null","9","15","null","null","22","29","null","null","0","12","null","null",
