"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019004323","Census Tract 43.23, Pima County, Arizona","521","128","null","null","0","12","null","null","20","22","null","null","0","null","12","null","0","null","12","null","4","8","null","null","0","12","null","null","15","22","null","null","27","null","28","null","0","null","12","null","76","57","null","null","41","35","null","null","183","102","null","null","78","51","null","null","15","null","23","null","46","null","34","null","16","24","null","null",
"1400000US04019004324","Census Tract 43.24, Pima County, Arizona","1673","144","null","null","16","18","null","null","83","62","null","null","171","null","123","null","70","null","36","null","82","50","null","null","112","61","null","null","95","45","null","null","43","null","37","null","74","null","41","null","194","86","null","null","250","105","null","null","225","100","null","null","73","48","null","null","82","null","60","null","90","null","77","null","13","16","null","null",
"1400000US04019004325","Census Tract 43.25, Pima County, Arizona","949","72","null","null","5","9","null","null","17","15","null","null","4","null","8","null","47","null","24","null","37","20","null","null","48","35","null","null","67","35","null","null","53","null","27","null","25","null","20","null","84","37","null","null","145","57","null","null","126","42","null","null","82","54","null","null","68","null","47","null","116","null","99","null","25","22","null","null",
"1400000US04019004326","Census Tract 43.26, Pima County, Arizona","596","92","null","null","0","12","null","null","13","20","null","null","27","null","27","null","21","null","24","null","15","19","null","null","0","12","null","null","29","26","null","null","12","null","19","null","14","null","17","null","82","52","null","null","127","62","null","null","124","70","null","null","58","57","null","null","65","null","48","null","0","null","12","null","9","15","null","null",
"1400000US04019004327","Census Tract 43.27, Pima County, Arizona","1098","172","null","null","45","32","null","null","40","25","null","null","36","null","35","null","94","null","66","null","70","41","null","null","58","49","null","null","50","40","null","null","113","null","78","null","22","null","20","null","156","71","null","null","72","38","null","null","177","89","null","null","60","32","null","null","54","null","42","null","43","null","30","null","8","13","null","null",
"1400000US04019004328","Census Tract 43.28, Pima County, Arizona","2070","224","null","null","71","74","null","null","62","51","null","null","198","null","162","null","56","null","54","null","185","114","null","null","117","81","null","null","162","91","null","null","93","null","100","null","99","null","61","null","241","88","null","null","209","91","null","null","209","87","null","null","149","77","null","null","139","null","84","null","26","null","31","null","54","44","null","null",
"1400000US04019004329","Census Tract 43.29, Pima County, Arizona","1985","224","null","null","0","17","null","null","75","64","null","null","28","null","33","null","39","null","50","null","52","54","null","null","37","42","null","null","87","75","null","null","136","null","92","null","67","null","48","null","149","95","null","null","269","132","null","null","328","137","null","null","255","108","null","null","257","null","129","null","148","null","94","null","58","51","null","null",
"1400000US04019004330","Census Tract 43.30, Pima County, Arizona","1073","128","null","null","40","41","null","null","75","47","null","null","62","null","45","null","74","null","39","null","59","36","null","null","24","22","null","null","61","39","null","null","41","null","30","null","67","null","45","null","67","29","null","null","70","46","null","null","285","147","null","null","59","56","null","null","68","null","59","null","21","null","17","null","0","12","null","null",
"1400000US04019004331","Census Tract 43.31, Pima County, Arizona","1869","164","null","null","57","45","null","null","104","85","null","null","156","null","82","null","194","null","120","null","169","85","null","null","81","48","null","null","78","47","null","null","119","null","66","null","160","null","102","null","149","79","null","null","221","91","null","null","130","79","null","null","194","91","null","null","13","null","22","null","15","null","24","null","29","33","null","null",
"1400000US04019004332","Census Tract 43.32, Pima County, Arizona","791","74","null","null","31","21","null","null","26","19","null","null","27","null","19","null","31","null","21","null","40","22","null","null","134","67","null","null","19","17","null","null","43","null","32","null","23","null","17","null","96","46","null","null","82","30","null","null","70","45","null","null","51","28","null","null","41","null","34","null","37","null","37","null","40","43","null","null",
