"GEO_ID","NAME","B19001H_001E","B19001H_001EA","B19001H_001M","B19001H_001MA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015M","B19001H_015MA","B19001H_015EA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04013318400","Census Tract 3184, Maricopa County, Arizona","1173","null","214","null","172","99","null","null","215","null","96","null","17","29","null","null","86","null","56","null","1","null","11","null","40","null","40","null","31","null","30","null","12","19","null","null","43","null","43","null","98","null","55","null","231","null","126","null","108","null","96","null","32","null","36","null","87","99","null","null","0","null","12","null","0","null","12","null",
"1400000US04013318501","Census Tract 3185.01, Maricopa County, Arizona","1111","null","107","null","173","91","null","null","80","null","41","null","73","46","null","null","15","null","18","null","35","null","30","null","52","null","49","null","47","null","32","null","108","85","null","null","59","null","40","null","110","null","78","null","73","null","54","null","147","null","87","null","49","null","33","null","0","12","null","null","86","null","63","null","4","null","7","null",
"1400000US04013318700","Census Tract 3187, Maricopa County, Arizona","376","null","71","null","91","42","null","null","7","null","8","null","15","24","null","null","4","null","5","null","12","null","11","null","4","null","6","null","0","null","12","null","15","13","null","null","2","null","4","null","10","null","10","null","56","null","37","null","18","null","13","null","27","null","24","null","27","25","null","null","40","null","34","null","48","null","31","null",
"1400000US04013318800","Census Tract 3188, Maricopa County, Arizona","2082","null","252","null","375","134","null","null","152","null","109","null","198","91","null","null","54","null","54","null","35","null","26","null","157","null","106","null","94","null","64","null","105","84","null","null","105","null","87","null","220","null","128","null","181","null","89","null","112","null","89","null","110","null","103","null","74","55","null","null","52","null","44","null","58","null","61","null",
"1400000US04013318900","Census Tract 3189, Maricopa County, Arizona","1640","null","239","null","149","119","null","null","116","null","56","null","40","34","null","null","155","null","124","null","53","null","47","null","207","null","167","null","90","null","75","null","61","50","null","null","111","null","83","null","143","null","95","null","155","null","81","null","204","null","113","null","112","null","76","null","0","17","null","null","15","null","24","null","29","null","35","null",
"1400000US04013319000","Census Tract 3190, Maricopa County, Arizona","744","null","76","null","88","46","null","null","28","null","22","null","81","50","null","null","68","null","61","null","12","null","13","null","20","null","16","null","41","null","41","null","6","9","null","null","4","null","9","null","21","null","17","null","30","null","22","null","124","null","53","null","118","null","64","null","57","25","null","null","18","null","18","null","28","null","23","null",
"1400000US04013319101","Census Tract 3191.01, Maricopa County, Arizona","569","null","108","null","207","76","null","null","63","null","43","null","48","41","null","null","58","null","45","null","60","null","49","null","59","null","48","null","29","null","32","null","29","27","null","null","0","null","12","null","16","null","19","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null",
"1400000US04013319103","Census Tract 3191.03, Maricopa County, Arizona","858","null","143","null","223","94","null","null","110","null","65","null","48","40","null","null","76","null","72","null","88","null","54","null","66","null","58","null","7","null","12","null","76","75","null","null","26","null","30","null","24","null","35","null","90","null","61","null","11","null","18","null","0","null","17","null","0","17","null","null","13","null","21","null","0","null","17","null",
"1400000US04013319104","Census Tract 3191.04, Maricopa County, Arizona","1325","null","213","null","275","130","null","null","134","null","98","null","62","50","null","null","80","null","70","null","78","null","70","null","92","null","72","null","46","null","44","null","86","74","null","null","73","null","54","null","71","null","72","null","62","null","79","null","235","null","129","null","13","null","22","null","0","17","null","null","18","null","31","null","0","null","17","null",
"1400000US04013319201","Census Tract 3192.01, Maricopa County, Arizona","1267","null","171","null","243","132","null","null","91","null","78","null","15","24","null","null","79","null","73","null","44","null","42","null","105","null","86","null","128","null","93","null","82","69","null","null","42","null","49","null","61","null","65","null","135","null","92","null","188","null","99","null","14","null","23","null","0","17","null","null","0","null","17","null","40","null","59","null",
