"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005M","B19001H_005MA","B19001H_005EA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04013616600","Census Tract 6166, Maricopa County, Arizona","1760","185","null","null","41","65","null","null","53","null","43","null","27","30","null","null","54","66","null","null","54","null","44","null","121","null","78","null","68","73","null","null","97","58","null","null","166","null","108","null","162","70","null","null","254","null","133","null","415","154","null","null","83","79","null","null","109","null","99","null","29","31","null","null","27","null","31","null",
"1400000US04013616700","Census Tract 6167, Maricopa County, Arizona","1581","176","null","null","35","32","null","null","42","null","33","null","35","26","null","null","35","29","null","null","45","null","45","null","96","null","59","null","42","42","null","null","66","44","null","null","141","null","89","null","306","125","null","null","196","null","87","null","311","119","null","null","73","45","null","null","64","null","45","null","59","41","null","null","35","null","44","null",
"1400000US04013616800","Census Tract 6168, Maricopa County, Arizona","2027","171","null","null","106","109","null","null","58","null","59","null","17","27","null","null","135","95","null","null","99","null","68","null","94","null","68","null","67","60","null","null","167","98","null","null","133","null","89","null","227","141","null","null","163","null","79","null","403","133","null","null","140","77","null","null","181","null","89","null","26","29","null","null","11","null","18","null",
"1400000US04013616900","Census Tract 6169, Maricopa County, Arizona","1612","142","null","null","12","19","null","null","56","null","41","null","24","28","null","null","41","38","null","null","38","null","35","null","131","null","69","null","133","84","null","null","154","89","null","null","90","null","58","null","121","55","null","null","245","null","90","null","200","90","null","null","149","69","null","null","66","null","50","null","71","57","null","null","81","null","66","null",
"1400000US04013617000","Census Tract 6170, Maricopa County, Arizona","1992","226","null","null","167","93","null","null","88","null","52","null","35","41","null","null","189","85","null","null","98","null","65","null","117","null","73","null","84","77","null","null","194","108","null","null","68","null","71","null","109","67","null","null","349","null","135","null","164","88","null","null","201","107","null","null","51","null","38","null","65","71","null","null","13","null","21","null",
"1400000US04013617100","Census Tract 6171, Maricopa County, Arizona","888","114","null","null","0","132","null","null","34","null","40","null","0","132","null","null","15","31","null","null","0","null","132","null","6","null","15","null","72","62","null","null","42","48","null","null","0","null","132","null","90","73","null","null","168","null","98","null","224","103","null","null","94","48","null","null","82","null","65","null","61","50","null","null","0","null","132","null",
"1400000US04013617200","Census Tract 6172, Maricopa County, Arizona","865","119","null","null","12","19","null","null","15","null","23","null","15","23","null","null","0","132","null","null","12","null","21","null","0","null","132","null","21","24","null","null","0","132","null","null","65","null","52","null","140","84","null","null","200","null","121","null","120","64","null","null","222","111","null","null","0","null","132","null","26","31","null","null","17","null","24","null",
"1400000US04013617300","Census Tract 6173, Maricopa County, Arizona","1052","128","null","null","27","33","null","null","15","null","24","null","14","23","null","null","0","132","null","null","64","null","76","null","77","null","72","null","14","21","null","null","122","95","null","null","37","null","42","null","81","78","null","null","114","null","124","null","207","95","null","null","106","62","null","null","42","null","35","null","89","55","null","null","43","null","46","null",
"1400000US04013617400","Census Tract 6174, Maricopa County, Arizona","3192","237","null","null","156","79","null","null","153","null","61","null","165","83","null","null","189","100","null","null","265","null","116","null","345","null","116","null","278","109","null","null","132","74","null","null","201","null","81","null","293","125","null","null","387","null","120","null","337","119","null","null","196","92","null","null","51","null","52","null","44","40","null","null","0","null","132","null",
"1400000US04013617500","Census Tract 6175, Maricopa County, Arizona","1592","143","null","null","168","89","null","null","132","null","60","null","146","70","null","null","42","34","null","null","94","null","46","null","77","null","39","null","88","47","null","null","108","50","null","null","103","null","47","null","175","73","null","null","124","null","63","null","134","56","null","null","110","50","null","null","45","null","31","null","30","28","null","null","16","null","18","null",
"1400000US04013617600","Census Tract 6176, Maricopa County, Arizona","1950","157","null","null","90","69","null","null","97","null","71","null","45","37","null","null","99","73","null","null","77","null","49","null","88","null","50","null","119","85","null","null","96","69","null","null","75","null","51","null","177","95","null","null","203","null","79","null","520","162","null","null","122","70","null","null","98","null","77","null","22","26","null","null","22","null","27","null",
"1400000US04013617700","Census Tract 6177, Maricopa County, Arizona","1096","164","null","null","34","38","null","null","50","null","50","null","22","28","null","null","43","53","null","null","37","null","42","null","154","null","88","null","22","20","null","null","133","90","null","null","109","null","78","null","119","76","null","null","139","null","76","null","76","44","null","null","63","45","null","null","22","null","24","null","44","41","null","null","29","null","16","null",
"1400000US04013617800","Census Tract 6178, Maricopa County, Arizona","840","71","null","null","18","21","null","null","2","null","8","null","0","132","null","null","34","31","null","null","20","null","23","null","48","null","44","null","13","21","null","null","21","23","null","null","25","null","21","null","47","29","null","null","64","null","38","null","155","69","null","null","166","67","null","null","81","null","54","null","56","41","null","null","90","null","54","null",
"1400000US04013617900","Census Tract 6179, Maricopa County, Arizona","1036","91","null","null","42","40","null","null","60","null","67","null","32","31","null","null","74","72","null","null","11","null","20","null","0","null","132","null","26","24","null","null","22","24","null","null","14","null","16","null","167","80","null","null","270","null","102","null","95","64","null","null","70","42","null","null","98","null","52","null","32","30","null","null","23","null","27","null",
"1400000US04013618000","Census Tract 6180, Maricopa County, Arizona","1330","109","null","null","19","21","null","null","77","null","39","null","35","36","null","null","22","25","null","null","57","null","61","null","44","null","32","null","22","27","null","null","91","62","null","null","24","null","25","null","97","61","null","null","199","null","82","null","234","121","null","null","195","87","null","null","98","null","72","null","86","46","null","null","30","null","29","null",
"1400000US04013618100","Census Tract 6181, Maricopa County, Arizona","1514","106","null","null","13","15","null","null","26","null","28","null","67","69","null","null","25","28","null","null","43","null","39","null","21","null","29","null","44","47","null","null","76","50","null","null","65","null","44","null","202","111","null","null","252","null","98","null","249","102","null","null","168","77","null","null","188","null","91","null","65","49","null","null","10","null","17","null",
"1400000US04013618200","Census Tract 6182, Maricopa County, Arizona","1361","102","null","null","63","69","null","null","8","null","12","null","76","54","null","null","94","61","null","null","108","null","49","null","89","null","54","null","14","17","null","null","131","72","null","null","32","null","32","null","144","82","null","null","239","null","120","null","165","75","null","null","110","55","null","null","74","null","55","null","14","21","null","null","0","null","132","null",
"1400000US04013618300","Census Tract 6183, Maricopa County, Arizona","849","103","null","null","0","132","null","null","15","null","21","null","39","32","null","null","0","132","null","null","6","null","10","null","30","null","35","null","19","31","null","null","51","39","null","null","23","null","22","null","103","66","null","null","161","null","81","null","225","84","null","null","68","48","null","null","80","null","64","null","18","28","null","null","11","null","18","null",
"1400000US04013618400","Census Tract 6184, Maricopa County, Arizona","1229","105","null","null","67","74","null","null","59","null","37","null","51","38","null","null","85","60","null","null","89","null","59","null","61","null","62","null","53","48","null","null","93","54","null","null","20","null","24","null","151","76","null","null","204","null","92","null","173","65","null","null","82","47","null","null","10","null","15","null","19","27","null","null","12","null","18","null",
"1400000US04013618500","Census Tract 6185, Maricopa County, Arizona","1116","172","null","null","40","32","null","null","132","null","72","null","44","42","null","null","28","27","null","null","14","null","15","null","108","null","84","null","71","62","null","null","22","26","null","null","87","null","62","null","76","51","null","null","202","null","94","null","110","71","null","null","129","78","null","null","53","null","36","null","0","132","null","null","0","null","132","null",
"1400000US04013618600","Census Tract 6186, Maricopa County, Arizona","1146","123","null","null","122","59","null","null","87","null","63","null","87","58","null","null","66","57","null","null","28","null","25","null","96","null","63","null","68","53","null","null","10","15","null","null","89","null","58","null","42","33","null","null","118","null","65","null","175","85","null","null","99","68","null","null","48","null","55","null","0","132","null","null","11","null","17","null",
"1400000US04013618700","Census Tract 6187, Maricopa County, Arizona","875","99","null","null","107","89","null","null","0","null","132","null","9","13","null","null","57","56","null","null","12","null","19","null","77","null","73","null","60","40","null","null","0","132","null","null","63","null","38","null","63","38","null","null","99","null","78","null","201","84","null","null","47","33","null","null","48","null","38","null","20","30","null","null","12","null","18","null",
"1400000US04013618800","Census Tract 6188, Maricopa County, Arizona","1247","189","null","null","99","82","null","null","87","null","55","null","120","87","null","null","150","103","null","null","159","null","105","null","57","null","54","null","81","69","null","null","17","27","null","null","115","null","73","null","43","47","null","null","104","null","86","null","86","83","null","null","93","69","null","null","0","null","132","null","0","132","null","null","36","null","59","null",
"1400000US04013618900","Census Tract 6189, Maricopa County, Arizona","2106","230","null","null","31","36","null","null","17","null","27","null","132","87","null","null","251","140","null","null","112","null","65","null","88","null","62","null","120","97","null","null","131","102","null","null","131","null","67","null","273","111","null","null","319","null","157","null","151","77","null","null","168","81","null","null","73","null","41","null","26","25","null","null","83","null","68","null",
"1400000US04013619000","Census Tract 6190, Maricopa County, Arizona","1249","114","null","null","47","29","null","null","79","null","38","null","31","51","null","null","47","35","null","null","42","null","38","null","18","null","21","null","52","43","null","null","112","73","null","null","57","null","41","null","138","71","null","null","134","null","64","null","257","98","null","null","128","60","null","null","46","null","37","null","18","19","null","null","43","null","53","null",
"1400000US04013619100","Census Tract 6191, Maricopa County, Arizona","941","156","null","null","57","58","null","null","108","null","76","null","77","40","null","null","71","47","null","null","26","null","30","null","59","null","52","null","102","87","null","null","101","89","null","null","70","null","47","null","50","51","null","null","137","null","81","null","23","25","null","null","9","14","null","null","51","null","54","null","0","132","null","null","0","null","132","null",
"1400000US04013619200","Census Tract 6192, Maricopa County, Arizona","1378","217","null","null","31","34","null","null","83","null","55","null","173","109","null","null","136","63","null","null","185","null","114","null","198","null","98","null","170","97","null","null","51","48","null","null","37","null","42","null","93","64","null","null","75","null","52","null","84","64","null","null","62","48","null","null","0","null","132","null","0","132","null","null","0","null","132","null",
