"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003EA","B19001H_003M","B19001H_003MA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04019004051","Census Tract 40.51, Pima County, Arizona","1802","119","null","null","20","null","23","null","31","null","32","null","15","null","17","null","62","null","51","null","135","94","null","null","42","37","null","null","84","null","50","null","63","null","54","null","100","null","66","null","121","58","null","null","194","71","null","null","173","null","74","null","289","null","92","null","112","null","55","null","237","null","85","null","124","56","null","null",
"1400000US04019004052","Census Tract 40.52, Pima County, Arizona","738","51","null","null","3","null","5","null","15","null","16","null","39","null","28","null","5","null","7","null","23","21","null","null","14","14","null","null","11","null","12","null","19","null","18","null","8","null","12","null","37","28","null","null","84","42","null","null","148","null","68","null","120","null","59","null","56","null","35","null","112","null","46","null","44","29","null","null",
"1400000US04019004053","Census Tract 40.53, Pima County, Arizona","1136","82","null","null","15","null","19","null","60","null","60","null","21","null","24","null","93","null","69","null","20","22","null","null","15","23","null","null","48","null","37","null","61","null","37","null","10","null","16","null","133","71","null","null","86","44","null","null","205","null","95","null","137","null","70","null","73","null","62","null","65","null","37","null","94","55","null","null",
"1400000US04019004054","Census Tract 40.54, Pima County, Arizona","522","56","null","null","19","null","23","null","0","null","13","null","0","null","13","null","0","null","13","null","19","17","null","null","0","13","null","null","0","null","13","null","17","null","19","null","24","null","22","null","59","46","null","null","46","27","null","null","146","null","55","null","64","null","38","null","63","null","37","null","35","null","27","null","30","33","null","null",
"1400000US04019004055","Census Tract 40.55, Pima County, Arizona","1107","117","null","null","27","null","25","null","38","null","50","null","59","null","54","null","16","null","17","null","49","51","null","null","69","60","null","null","32","null","40","null","33","null","30","null","52","null","36","null","69","49","null","null","127","51","null","null","120","null","50","null","138","null","65","null","89","null","42","null","96","null","71","null","93","41","null","null",
"1400000US04019004056","Census Tract 40.56, Pima County, Arizona","615","90","null","null","20","null","30","null","11","null","18","null","26","null","21","null","15","null","16","null","18","17","null","null","17","18","null","null","36","null","29","null","16","null","15","null","14","null","17","null","64","38","null","null","38","30","null","null","187","null","92","null","84","null","45","null","7","null","10","null","36","null","34","null","26","24","null","null",
"1400000US04019004057","Census Tract 40.57, Pima County, Arizona","1375","134","null","null","8","null","13","null","26","null","24","null","84","null","62","null","48","null","62","null","65","43","null","null","68","41","null","null","54","null","48","null","74","null","52","null","127","null","79","null","94","64","null","null","270","102","null","null","225","null","71","null","100","null","40","null","90","null","53","null","10","null","14","null","32","23","null","null",
"1400000US04019004058","Census Tract 40.58, Pima County, Arizona","1256","125","null","null","48","null","33","null","17","null","19","null","50","null","32","null","81","null","46","null","108","80","null","null","28","26","null","null","56","null","41","null","111","null","54","null","75","null","61","null","133","56","null","null","190","79","null","null","271","null","113","null","46","null","36","null","29","null","28","null","0","null","13","null","13","20","null","null",
"1400000US04019004061","Census Tract 40.61, Pima County, Arizona","1277","146","null","null","37","null","31","null","23","null","34","null","16","null","27","null","46","null","39","null","38","33","null","null","42","40","null","null","26","null","32","null","56","null","50","null","45","null","40","null","80","47","null","null","240","90","null","null","171","null","72","null","162","null","71","null","43","null","40","null","124","null","72","null","128","66","null","null",
"1400000US04019004062","Census Tract 40.62, Pima County, Arizona","1194","131","null","null","0","null","13","null","26","null","33","null","11","null","17","null","63","null","67","null","16","26","null","null","35","40","null","null","10","null","15","null","0","null","13","null","56","null","45","null","61","47","null","null","249","110","null","null","289","null","105","null","157","null","72","null","40","null","35","null","70","null","55","null","111","98","null","null",
