"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004M","B19001H_004MA","B19001H_004EA","B19001H_005E","B19001H_005M","B19001H_005MA","B19001H_005EA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007M","B19001H_007MA","B19001H_007EA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011M","B19001H_011MA","B19001H_011EA","B19001H_012E","B19001H_012EA","B19001H_012M","B19001H_012MA","B19001H_013E","B19001H_013EA","B19001H_013M","B19001H_013MA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016M","B19001H_016MA","B19001H_016EA","B19001H_017E","B19001H_017M","B19001H_017MA","B19001H_017EA",
"1400000US04013610200","Census Tract 6102, Maricopa County, Arizona","2576","297","null","null","139","null","101","null","48","45","null","null","77","82","null","null","59","79","null","null","24","30","null","null","104","84","null","null","113","null","92","null","69","null","83","null","172","111","null","null","229","136","null","null","241","null","108","null","388","null","159","null","191","null","104","null","186","null","108","null","194","87","null","null","342","164","null","null",
"1400000US04013610300","Census Tract 6103, Maricopa County, Arizona","2489","240","null","null","20","null","25","null","33","33","null","null","120","110","null","null","64","61","null","null","97","77","null","null","73","83","null","null","54","null","64","null","57","null","70","null","108","68","null","null","331","202","null","null","200","null","105","null","452","null","163","null","358","null","130","null","168","null","101","null","185","97","null","null","169","100","null","null",
"1400000US04013610400","Census Tract 6104, Maricopa County, Arizona","1592","155","null","null","46","null","43","null","0","18","null","null","21","23","null","null","22","26","null","null","27","25","null","null","223","192","null","null","0","null","18","null","32","null","33","null","112","160","null","null","213","127","null","null","197","null","116","null","183","null","113","null","107","null","80","null","239","null","131","null","96","66","null","null","74","57","null","null",
"1400000US04013610500","Census Tract 6105, Maricopa County, Arizona","2218","195","null","null","71","null","92","null","46","49","null","null","91","65","null","null","0","18","null","null","45","45","null","null","169","108","null","null","0","null","18","null","70","null","70","null","54","49","null","null","127","82","null","null","246","null","119","null","152","null","84","null","225","null","106","null","315","null","151","null","236","130","null","null","371","257","null","null",
"1400000US04013610600","Census Tract 6106, Maricopa County, Arizona","1643","170","null","null","88","null","94","null","12","19","null","null","30","49","null","null","17","29","null","null","33","40","null","null","34","41","null","null","54","null","58","null","131","null","98","null","75","69","null","null","160","119","null","null","101","null","71","null","248","null","133","null","223","null","138","null","252","null","125","null","117","78","null","null","68","47","null","null",
"1400000US04013610700","Census Tract 6107, Maricopa County, Arizona","2370","225","null","null","107","null","118","null","33","37","null","null","39","42","null","null","16","26","null","null","93","101","null","null","157","127","null","null","154","null","107","null","87","null","85","null","174","183","null","null","170","96","null","null","167","null","107","null","330","null","177","null","280","null","107","null","310","null","140","null","167","103","null","null","86","52","null","null",
"1400000US04013610800","Census Tract 6108, Maricopa County, Arizona","926","129","null","null","6","null","10","null","9","13","null","null","0","13","null","null","16","25","null","null","9","15","null","null","9","16","null","null","15","null","24","null","0","null","13","null","22","28","null","null","32","31","null","null","87","null","57","null","198","null","82","null","181","null","86","null","132","null","68","null","136","71","null","null","74","61","null","null",
"1400000US04013610900","Census Tract 6109, Maricopa County, Arizona","1664","150","null","null","0","null","18","null","30","36","null","null","66","65","null","null","14","23","null","null","68","63","null","null","46","44","null","null","12","null","19","null","12","null","20","null","8","13","null","null","61","51","null","null","108","null","59","null","268","null","91","null","163","null","83","null","253","null","79","null","248","133","null","null","307","145","null","null",
"1400000US04013611000","Census Tract 6110, Maricopa County, Arizona","616","116","null","null","0","null","13","null","0","13","null","null","0","13","null","null","40","63","null","null","7","12","null","null","5","9","null","null","0","null","13","null","0","null","13","null","5","8","null","null","0","13","null","null","30","null","25","null","76","null","53","null","158","null","92","null","38","null","28","null","164","103","null","null","93","45","null","null",
"1400000US04013611100","Census Tract 6111, Maricopa County, Arizona","889","98","null","null","0","null","13","null","15","15","null","null","0","13","null","null","0","13","null","null","0","13","null","null","0","13","null","null","10","null","19","null","20","null","31","null","51","54","null","null","51","60","null","null","63","null","63","null","121","null","72","null","227","null","102","null","68","null","55","null","100","71","null","null","163","88","null","null",
"1400000US04013611200","Census Tract 6112, Maricopa County, Arizona","1580","113","null","null","10","null","15","null","17","20","null","null","11","14","null","null","35","43","null","null","39","36","null","null","28","26","null","null","10","null","16","null","57","null","40","null","20","23","null","null","52","57","null","null","107","null","52","null","272","null","95","null","268","null","115","null","206","null","84","null","212","74","null","null","236","87","null","null",
"1400000US04013611300","Census Tract 6113, Maricopa County, Arizona","1400","223","null","null","66","null","53","null","10","16","null","null","12","18","null","null","9","16","null","null","59","55","null","null","58","55","null","null","52","null","45","null","143","null","168","null","57","67","null","null","111","89","null","null","111","null","69","null","271","null","147","null","127","null","81","null","105","null","77","null","129","103","null","null","80","50","null","null",
"1400000US04013611400","Census Tract 6114, Maricopa County, Arizona","1741","146","null","null","54","null","54","null","0","18","null","null","35","56","null","null","31","42","null","null","9","18","null","null","0","18","null","null","0","null","18","null","53","null","56","null","26","38","null","null","81","64","null","null","139","null","85","null","260","null","129","null","327","null","145","null","263","null","137","null","358","150","null","null","105","79","null","null",
"1400000US04013611500","Census Tract 6115, Maricopa County, Arizona","1651","124","null","null","26","null","39","null","0","18","null","null","43","60","null","null","12","20","null","null","0","18","null","null","28","28","null","null","42","null","45","null","10","null","16","null","71","59","null","null","68","69","null","null","126","null","74","null","503","null","168","null","153","null","76","null","246","null","123","null","266","121","null","null","57","42","null","null",
"1400000US04013611600","Census Tract 6116, Maricopa County, Arizona","959","107","null","null","0","null","13","null","21","31","null","null","7","12","null","null","2","14","null","null","8","12","null","null","0","13","null","null","17","null","26","null","32","null","46","null","11","17","null","null","29","37","null","null","165","null","105","null","89","null","58","null","161","null","89","null","155","null","95","null","99","67","null","null","163","82","null","null",
"1400000US04013611700","Census Tract 6117, Maricopa County, Arizona","1663","158","null","null","58","null","54","null","26","41","null","null","0","18","null","null","55","40","null","null","0","18","null","null","12","20","null","null","17","null","29","null","32","null","40","null","51","41","null","null","110","67","null","null","188","null","89","null","220","null","99","null","280","null","99","null","196","null","110","null","206","103","null","null","212","81","null","null",
"1400000US04013611800","Census Tract 6118, Maricopa County, Arizona","2177","150","null","null","108","null","86","null","38","40","null","null","38","44","null","null","105","76","null","null","18","28","null","null","40","44","null","null","38","null","59","null","155","null","110","null","105","100","null","null","123","72","null","null","338","null","135","null","513","null","131","null","290","null","119","null","135","null","98","null","105","71","null","null","28","30","null","null",
