"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002M","B19001H_002MA","B19001H_002EA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006EA","B19001H_006M","B19001H_006MA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008EA","B19001H_008M","B19001H_008MA","B19001H_009E","B19001H_009EA","B19001H_009M","B19001H_009MA","B19001H_010E","B19001H_010EA","B19001H_010M","B19001H_010MA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014M","B19001H_014MA","B19001H_014EA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04019004421","Census Tract 44.21, Pima County, Arizona","1746","235","null","null","18","29","null","null","33","38","null","null","141","null","71","null","53","null","50","null","35","null","29","null","141","null","118","null","104","null","102","null","149","null","75","null","138","null","94","null","233","null","123","null","201","119","null","null","206","89","null","null","63","52","null","null","167","null","119","null","47","null","44","null","17","null","26","null",
"1400000US04019004422","Census Tract 44.22, Pima County, Arizona","1109","173","null","null","46","44","null","null","15","24","null","null","96","null","81","null","56","null","46","null","42","null","49","null","15","null","25","null","47","null","43","null","29","null","33","null","32","null","39","null","148","null","83","null","115","63","null","null","98","59","null","null","123","71","null","null","123","null","70","null","30","null","33","null","94","null","78","null",
"1400000US04019004423","Census Tract 44.23, Pima County, Arizona","1309","139","null","null","103","74","null","null","43","30","null","null","49","null","34","null","66","null","55","null","50","null","41","null","21","null","22","null","149","null","87","null","69","null","40","null","115","null","72","null","104","null","54","null","169","82","null","null","163","63","null","null","92","43","null","null","16","null","20","null","65","null","44","null","35","null","30","null",
"1400000US04019004424","Census Tract 44.24, Pima County, Arizona","988","140","null","null","77","49","null","null","70","59","null","null","85","null","66","null","35","null","29","null","14","null","18","null","145","null","85","null","129","null","73","null","0","null","12","null","85","null","67","null","56","null","38","null","105","67","null","null","71","45","null","null","51","34","null","null","27","null","26","null","28","null","43","null","10","null","15","null",
"1400000US04019004425","Census Tract 44.25, Pima County, Arizona","1956","235","null","null","123","72","null","null","24","29","null","null","103","null","87","null","120","null","95","null","84","null","60","null","141","null","106","null","39","null","43","null","121","null","90","null","81","null","85","null","323","null","121","null","81","62","null","null","485","199","null","null","93","57","null","null","52","null","83","null","86","null","69","null","0","null","17","null",
"1400000US04019004426","Census Tract 44.26, Pima County, Arizona","607","80","null","null","25","24","null","null","11","17","null","null","0","null","12","null","0","null","12","null","35","null","30","null","10","null","14","null","0","null","12","null","18","null","20","null","12","null","18","null","143","null","71","null","60","39","null","null","108","51","null","null","57","38","null","null","68","null","38","null","53","null","33","null","7","null","10","null",
"1400000US04019004427","Census Tract 44.27, Pima County, Arizona","2742","205","null","null","101","64","null","null","15","23","null","null","54","null","43","null","71","null","51","null","107","null","65","null","19","null","32","null","111","null","62","null","27","null","31","null","41","null","38","null","277","null","133","null","353","134","null","null","414","139","null","null","477","138","null","null","328","null","136","null","201","null","86","null","146","null","85","null",
"1400000US04019004428","Census Tract 44.28, Pima County, Arizona","1004","115","null","null","23","22","null","null","0","12","null","null","49","null","50","null","10","null","16","null","10","null","15","null","19","null","20","null","10","null","15","null","37","null","31","null","24","null","21","null","21","null","23","null","123","64","null","null","194","76","null","null","140","49","null","null","67","null","40","null","114","null","52","null","163","null","64","null",
"1400000US04019004429","Census Tract 44.29, Pima County, Arizona","1948","188","null","null","30","41","null","null","14","23","null","null","39","null","45","null","39","null","37","null","22","null","29","null","0","null","17","null","118","null","87","null","136","null","86","null","48","null","45","null","150","null","98","null","113","102","null","null","183","88","null","null","317","130","null","null","386","null","155","null","264","null","132","null","89","null","63","null",
"1400000US04019004430","Census Tract 44.30, Pima County, Arizona","468","66","null","null","11","14","null","null","12","12","null","null","31","null","25","null","16","null","17","null","13","null","14","null","22","null","23","null","0","null","12","null","55","null","34","null","10","null","13","null","28","null","18","null","90","51","null","null","46","30","null","null","49","27","null","null","20","null","19","null","47","null","37","null","18","null","15","null",
"1400000US04019004431","Census Tract 44.31, Pima County, Arizona","1154","103","null","null","11","16","null","null","15","17","null","null","7","null","11","null","0","null","17","null","25","null","24","null","37","null","30","null","15","null","18","null","31","null","26","null","27","null","24","null","96","null","44","null","146","69","null","null","244","83","null","null","228","87","null","null","123","null","65","null","103","null","58","null","46","null","45","null",
"1400000US04019004504","Census Tract 45.04, Pima County, Arizona","1270","246","null","null","171","102","null","null","162","114","null","null","143","null","92","null","104","null","89","null","68","null","72","null","57","null","50","null","14","null","23","null","23","null","27","null","74","null","75","null","74","null","79","null","99","80","null","null","64","64","null","null","111","101","null","null","0","null","17","null","106","null","130","null","0","null","17","null",
"1400000US04019004505","Census Tract 45.05, Pima County, Arizona","1020","143","null","null","84","55","null","null","83","50","null","null","66","null","35","null","43","null","36","null","154","null","100","null","118","null","79","null","122","null","62","null","24","null","23","null","47","null","33","null","66","null","41","null","86","61","null","null","69","44","null","null","0","12","null","null","38","null","30","null","20","null","18","null","0","null","12","null",
"1400000US04019004506","Census Tract 45.06, Pima County, Arizona","1112","135","null","null","80","67","null","null","56","56","null","null","55","null","40","null","96","null","51","null","89","null","54","null","127","null","77","null","50","null","33","null","57","null","36","null","52","null","41","null","49","null","28","null","156","80","null","null","132","71","null","null","9","14","null","null","9","null","16","null","4","null","8","null","91","null","79","null",
"1400000US04019004508","Census Tract 45.08, Pima County, Arizona","1254","200","null","null","166","95","null","null","66","53","null","null","22","null","30","null","107","null","76","null","25","null","29","null","92","null","78","null","127","null","101","null","48","null","45","null","75","null","91","null","58","null","57","null","200","111","null","null","84","56","null","null","58","62","null","null","102","null","97","null","0","null","17","null","24","null","38","null",
"1400000US04019004510","Census Tract 45.10, Pima County, Arizona","694","135","null","null","153","102","null","null","66","63","null","null","47","null","25","null","17","null","19","null","64","null","48","null","77","null","42","null","80","null","69","null","11","null","15","null","49","null","32","null","40","null","29","null","42","34","null","null","25","24","null","null","23","22","null","null","0","null","12","null","0","null","12","null","0","null","12","null",
"1400000US04019004511","Census Tract 45.11, Pima County, Arizona","981","136","null","null","40","43","null","null","137","75","null","null","49","null","33","null","83","null","51","null","8","null","13","null","69","null","37","null","53","null","42","null","54","null","49","null","56","null","39","null","106","null","71","null","110","71","null","null","84","52","null","null","61","47","null","null","55","null","47","null","0","null","12","null","16","null","18","null",
"1400000US04019004512","Census Tract 45.12, Pima County, Arizona","1079","149","null","null","90","57","null","null","166","76","null","null","58","null","45","null","52","null","42","null","74","null","52","null","97","null","61","null","31","null","28","null","73","null","54","null","64","null","48","null","97","null","83","null","86","62","null","null","96","56","null","null","68","66","null","null","19","null","22","null","8","null","17","null","0","null","12","null",
"1400000US04019004513","Census Tract 45.13, Pima County, Arizona","592","94","null","null","37","23","null","null","39","27","null","null","63","null","43","null","14","null","16","null","29","null","21","null","32","null","20","null","46","null","30","null","45","null","26","null","11","null","16","null","82","null","59","null","52","37","null","null","121","52","null","null","15","19","null","null","0","null","12","null","6","null","10","null","0","null","12","null",
