"GEO_ID","NAME","B25001_001M","B25001_001MA","B25001_001E","B25001_001EA",
"Geography","Geographic Area Name","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total","Annotation of Estimate!!Total",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","169","null","2363","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","141","null","2361","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","151","null","2471","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","102","null","2026","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","128","null","2234","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","123","null","840","null",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","124","null","1828","null",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","192","null","1994","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","161","null","2262","null",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","73","null","577","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","61","null","1266","null",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","42","null","917","null",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","78","null","1391","null",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","47","null","1015","null",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","197","null","2445","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","189","null","2120","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","62","null","1881","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","127","null","3170","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","54","null","1949","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","53","null","1736","null",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","79","null","1978","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","217","null","710","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","132","null","0","null",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","160","null","3052","null",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","117","null","852","null",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","100","null","1290","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","27","null","518","null",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","137","null","2718","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","177","null","2853","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","23","null","662","null",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","144","null","2139","null",
