"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_001MA","B19001C_001EA","B19001C_002E","B19001C_002M","B19001C_002MA","B19001C_002EA","B19001C_003E","B19001C_003M","B19001C_003MA","B19001C_003EA","B19001C_004E","B19001C_004EA","B19001C_004M","B19001C_004MA","B19001C_005E","B19001C_005EA","B19001C_005M","B19001C_005MA","B19001C_006E","B19001C_006M","B19001C_006MA","B19001C_006EA","B19001C_007E","B19001C_007EA","B19001C_007M","B19001C_007MA","B19001C_008E","B19001C_008M","B19001C_008MA","B19001C_008EA","B19001C_009E","B19001C_009M","B19001C_009MA","B19001C_009EA","B19001C_010E","B19001C_010EA","B19001C_010M","B19001C_010MA","B19001C_011E","B19001C_011EA","B19001C_011M","B19001C_011MA","B19001C_012E","B19001C_012EA","B19001C_012M","B19001C_012MA","B19001C_013E","B19001C_013M","B19001C_013MA","B19001C_013EA","B19001C_014E","B19001C_014M","B19001C_014MA","B19001C_014EA","B19001C_015E","B19001C_015EA","B19001C_015M","B19001C_015MA","B19001C_016E","B19001C_016EA","B19001C_016M","B19001C_016MA","B19001C_017E","B19001C_017EA","B19001C_017M","B19001C_017MA",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","28","29","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","16","null","24","null","12","18","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","39","34","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","18","26","null","null","21","24","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","10","15","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","10","15","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","13","16","null","null","0","13","null","null","3","5","null","null","0","null","13","null","10","null","15","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","27","23","null","null","4","6","null","null","6","7","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","13","20","null","null","0","19","null","null","4","null","6","null","0","null","19","null","0","null","19","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","24","37","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","24","null","37","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","14","20","null","null","0","13","null","null","0","13","null","null","0","null","13","null","14","null","20","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","12","21","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","12","21","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","72","83","null","null","18","30","null","null","0","13","null","null","0","null","13","null","54","null","82","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null",
